label_fr,topic,week_min,week_max,linked_article_ids,linked_red_flag_ids,keywords_fr,response_fr,suggestion_id,label_ar,label_en,response_ar,response_en,linked_article_ids.1,linked_red_flag_ids.1,linked_article_ids,linked_red_flag_ids
Comment choisir le pédiatre ?,achats,28,40,,,"pédiatre,médecin bébé,choix",Demandez des recommandations à votre gynécologue ou à d'autres parents. Il est important de le choisir avant la naissance.,cs069,,,,,,,,
J'ai des œdèmes,symptomes,28,40,,,"gonflement,œdèmes,pieds gonflés","Surélevez vos jambes et évitez de rester debout trop longtemps. Si le gonflement est soudain au visage, consultez (Red Flag : Gonflement visage).",cs070,,,,,,,,
Comment se passe le post-partum ?,post-partum,40,52,,,"post-partum,après accouchement,suites de couches",C'est une période de récupération physique et émotionnelle. Soyez patiente avec vous-même.,cs071,,,,,,,,
J'ai des pensées négatives après l'accouchement,post-partum,40,52,,,"baby blues,dépression,tristesse","Le baby blues est fréquent. Si la tristesse persiste au-delà de 2 semaines, consultez un professionnel (Red Flag : Pensées suicidaires).",cs072,,,,,,,,
Je veux allaiter,post-partum,40,52,,,"allaitement,sein,lait maternel",C'est un choix merveilleux. Renseignez-vous sur les bonnes positions et n'hésitez pas à demander de l'aide à la maternité.,cs073,,,,,,,,
Comment prendre soin de mon périnée ?,post-partum,40,52,,,"périnée,rééducation,cicatrice",La rééducation est essentielle après l'accouchement. Commencez les exercices de Kegel dès que possible (avec l'accord de votre médecin).,cs074,,,,,,,,
Quand reprendre les relations sexuelles ?,post-partum,40,52,,,"sexe,reprise,intimité",Attendez le rendez-vous post-natal (6-8 semaines) et que vous vous sentiez prête physiquement et émotionnellement.,cs075,,,,,,,,
J'ai des difficultés à allaiter,post-partum,40,52,,,"difficultés,douleur,crevasses",Contactez une consultante en lactation ou une sage-femme. Une bonne position est la clé.,cs076,,,,,,,,
Quels sont les signes de la dépression post-partum ?,post-partum,40,52,,,"dépression,symptômes,aide","Tristesse persistante, perte d'intérêt, anxiété, irritabilité. Si ces signes durent, consultez rapidement.",cs077,,,,,,,,
J'ai des saignements après l'accouchement,post-partum,40,52,,,"lochies,saignements,après accouchement","Les lochies (saignements) sont normales. Si elles deviennent très abondantes ou malodorantes, consultez (Red Flag : Hémorragie).",cs078,,,,,,,,
Comment gérer la fatigue avec un nouveau-né ?,post-partum,40,52,,,"fatigue,nouveau-né,sommeil",Dormez quand le bébé dort. N'hésitez pas à demander de l'aide à votre entourage.,cs079,,,,,,,,
J'ai des douleurs à la cicatrice de césarienne,post-partum,40,52,,,"cicatrice,césarienne,douleur","La douleur est normale au début. Si elle est très intense et soudaine, consultez (Red Flag : Rupture utérine).",cs080,,,,,,,,
J'ai des envies bizarres,nutrition,1,13,,,"envies,pica,nourriture","Les envies sont courantes. Si vous avez envie de choses non comestibles (terre, craie), parlez-en à votre médecin (Pica).",cs081,,,,,,,,
J'ai des sautes d'humeur,emotions,1,13,,,"humeur,colère,pleurs",Les hormones font le yoyo ! C'est normal. Parlez-en à votre partenaire pour qu'il comprenne.,cs082,,,,,,,,
Puis-je prendre des médicaments ?,sante,1,40,,,"médicaments,paracétamol,ibuprofène","Ne prenez aucun médicament sans avis médical. Le paracétamol est généralement autorisé, mais pas l'ibuprofène.",cs083,,,,,,,,
Comment gérer la constipation ?,symptomes,1,40,,,"constipation,transit,selles","Buvez beaucoup d'eau et mangez des fibres (fruits, légumes, céréales complètes).",cs084,,,,,,,,
J'ai des douleurs aux seins,symptomes,1,13,,,"seins,douleur,sensibles","La sensibilité des seins est un signe précoce de grossesse, due aux hormones. Portez un soutien-gorge confortable.",cs085,,,,,,,,
Quand faire le test de grossesse sanguin ?,examens,1,5,,,"test sanguin,hCG,confirmation",Le test sanguin est le plus fiable et est remboursé. Il confirme la grossesse et dose l'hormone hCG.,cs086,,,,,,,,
J'ai peur d'annoncer ma grossesse,emotions,1,13,,,"annonce,famille,travail",Prenez votre temps. Il est recommandé d'attendre la fin du premier trimestre pour l'annonce officielle.,cs087,,,,,,,,
Puis-je continuer à faire du sport intense ?,sport,1,40,,,"sport intense,course,fitness","Si vous étiez sportive, vous pouvez continuer en adaptant. Évitez les sports à risque de chute ou de choc.",cs088,,,,,,,,
Comment gérer les odeurs fortes ?,symptomes,1,13,,,"odeurs,sensibilité,nausées",La sensibilité aux odeurs est courante. Évitez les lieux et aliments aux odeurs fortes.,cs089,,,,,,,,
"Je n'ai pas de symptômes, est-ce normal ?",symptomes,1,13,,,"pas de symptômes,normal,inquiétude","Oui, chaque grossesse est unique. Ne pas avoir de symptômes n'est pas un signe de problème.",cs090,,,,,,,,
J'ai des varices,symptomes,14,40,,,"varices,jambes lourdes,circulation","Surélevez vos jambes et portez des bas de contention. Si une varice est douloureuse et chaude, consultez (Red Flag : Douleur mollet).",cs091,,,,,,,,
Comment gérer les coups de chaleur ?,symptomes,14,40,,,"chaleur,été,déshydratation","Hydratez-vous beaucoup, restez à l'ombre et évitez les heures chaudes. La chaleur peut provoquer des malaises.",cs092,,,,,,,,
J'ai des pertes vaginales,symptomes,14,40,,,"pertes,leucorrhées,liquide","Des pertes blanches (leucorrhées) sont normales. Si elles sont malodorantes, vertes ou jaunes, consultez. Si c'est un liquide chaud et abondant, contactez la maternité (Red Flag : Liquide chaud).",cs093,,,,,,,,
Puis-je teindre mes cheveux ?,self_care,14,40,,,"teinture,cheveux,produits chimiques",Il est préférable d'attendre le T2 et d'utiliser des teintures végétales ou sans ammoniaque.,cs094,,,,,,,,
Comment préparer mon aîné à l'arrivée du bébé ?,emotions,14,40,,,"aîné,jalousie,préparation",Impliquez-le dans les préparatifs. Lisez des livres sur l'arrivée d'un petit frère/sœur.,cs095,,,,,,,,
J'ai des envies de faire le ménage (Nesting),emotions,20,40,,,"ménage,nidification,préparatifs",C'est l'instinct de nidification ! Faites attention à ne pas trop vous fatiguer et évitez les produits chimiques.,cs096,,,,,,,,
Puis-je manger du poisson cru (sushi) ?,nutrition,14,40,,,"sushi,poisson cru,listériose","Non, le poisson cru est fortement déconseillé à cause du risque de listériose et de parasites.",cs097,,,,,,,,
Comment choisir le mode de garde ?,administratif,14,27,,,"crèche,nounou,garde",Commencez les démarches tôt (dès le T1 ou T2) car les places sont limitées.,cs098,,,,,,,,
J'ai des douleurs au niveau du pubis,symptomes,20,40,,,"pubis,douleur,symphyse pubienne",C'est la symphyse pubienne qui s'assouplit. Évitez les mouvements asymétriques et consultez un ostéopathe.,cs099,,,,,,,,
Mon bébé est-il trop petit/gros ?,examens,14,40,,,"taille bébé,poids bébé,courbe",Seul votre médecin peut évaluer la croissance. Ne vous fiez pas aux comparaisons. Le suivi échographique est là pour ça.,cs100,,,,,,,,
Comment faire la valise du papa ?,preparation,30,40,,,"valise papa,maternité,affaires partenaire","N'oubliez pas des vêtements de rechange, de la monnaie pour le parking, des snacks et un chargeur de téléphone !",cs101,,,,,,,,
J'ai des fuites de colostrum,post-partum,30,40,,,"colostrum,fuites,seins","C'est normal, c'est le corps qui se prépare. Vous pouvez utiliser des coussinets d'allaitement.",cs102,,,,,,,,
Comment soulager les jambes lourdes ?,symptomes,28,40,,,"jambes lourdes,circulation,bas de contention","Douche froide sur les jambes, surélever les pieds du lit et portez des bas de contention.",cs103,,,,,,,,
J'ai des hémorroïdes,symptomes,28,40,,,"hémorroïdes,douleur anale,constipation",Traitez la constipation. Demandez à votre médecin une crème apaisante.,cs104,,,,,,,,
Comment se passe le monitoring ?,examens,37,40,,,"monitoring,rythme cardiaque,contractions",C'est un examen qui enregistre le rythme cardiaque du bébé et vos contractions. Il est souvent fait en fin de grossesse.,cs105,,,,,,,,
Mon bébé est en position céphalique ?,examens,32,40,,,"position bébé,tête en bas,céphalique",La position céphalique (tête en bas) est la meilleure pour l'accouchement par voie basse. Elle est vérifiée à l'écho T3.,cs106,,,,,,,,
J'ai des vergetures,symptomes,28,40,,,"vergetures,cicatrices,peau",Elles sont génétiques. Hydratez pour minimiser l'apparition et la démangeaison. Elles s'estomperont après l'accouchement.,cs107,,,,,,,,
Comment soulager les douleurs costales ?,symptomes,28,40,,,"côtes,douleur,bébé qui pousse","Le bébé appuie sur vos côtes. Changez de position, étirez-vous doucement. Un coussin de grossesse peut aider.",cs108,,,,,,,,
J'ai peur de la césarienne,accouchement,28,40,,,"césarienne,peur,opération",Parlez-en à votre équipe médicale. Elle est parfois nécessaire pour la sécurité de la maman et du bébé.,cs109,,,,,,,,
Quand commencer le congé maternité ?,administratif,28,40,,,"congé maternité,date,travail","La date est fixée par la loi, mais peut être ajustée avec l'accord de votre médecin.",cs110,,,,,,,,
J'ai des lochies,post-partum,40,52,,,"lochies,saignements,après accouchement","Les lochies (saignements post-accouchement) sont normales. Si elles sont très abondantes, consultez (Red Flag : Hémorragie).",cs111,,,,,,,,
J'ai des douleurs à l'épisiotomie/déchirure,post-partum,40,52,,,"épisiotomie,déchirure,cicatrice","Nettoyez la zone à l'eau claire. Utilisez une bouée pour vous asseoir. Si la douleur est intense, consultez.",cs112,,,,,,,,
J'ai des montées de lait douloureuses,post-partum,40,52,,,"montée de lait,douleur,seins durs",Appliquez du froid et allaitez ou tirez votre lait régulièrement pour soulager.,cs113,,,,,,,,
Comment faire la rééducation abdominale ?,post-partum,48,60,,,"abdominaux,ventre,rééducation",Ne commencez pas avant la rééducation du périnée. Votre sage-femme ou kiné vous guidera.,cs114,,,,,,,,
J'ai une chute de cheveux,post-partum,40,60,,,"chute de cheveux,post-partum,hormones",C'est hormonal et temporaire. Cela s'arrêtera après quelques mois.,cs115,,,,,,,,
J'ai des difficultés à me connecter au bébé,post-partum,40,52,,,"lien,connexion,maternité","Le lien se construit. Si vous vous sentez détachée ou triste, parlez-en à un professionnel.",cs116,,,,,,,,
Comment gérer les visites ?,post-partum,40,52,,,"visites,famille,repos",N'hésitez pas à limiter les visites pour vous reposer. Votre priorité est le bébé et vous.,cs117,,,,,,,,
J'ai des douleurs pendant les rapports,post-partum,40,60,,,"douleur,rapports,sexe",C'est fréquent après l'accouchement. Utilisez un lubrifiant et parlez-en à votre médecin.,cs118,,,,,,,,
J'ai des oublis (mémoire),post-partum,40,60,,,"mémoire,oublis,fatigue",La fatigue et les hormones jouent un rôle. Faites des listes et soyez indulgente avec vous-même.,cs119,,,,,,,,
Comment reprendre le sport ?,post-partum,48,60,,,"reprise sport,exercice,abdominaux",Attendez la rééducation du périnée et l'accord de votre médecin (environ 6-8 semaines).,cs120,,,,,,,,
J'ai des fringales sucrées,nutrition,1,13,,,"sucre,envies,grignotage",Privilégiez les fruits frais ou les yaourts nature pour combler les fringales sucrées. Évitez les aliments trop transformés.,cs121,,,,,,,,
J'ai des brûlures d'estomac,symptomes,1,40,,,"brûlures,estomac,reflux","Mangez lentement, évitez les aliments gras ou épicés, et ne vous allongez pas juste après le repas.",cs122,,,,,,,,
Puis-je prendre un bain chaud ?,self_care,1,40,,,"bain chaud,sauna,hammam","Évitez les bains trop chauds, saunas ou hammams, car une température corporelle trop élevée peut être dangereuse pour le bébé.",cs123,,,,,,,,
J'ai des crampes aux jambes la nuit,symptomes,14,40,,,"crampes,jambes,nuit","Étirez vos mollets avant de dormir. Assurez-vous d'un bon apport en magnésium. Si la douleur est intense et localisée, consultez (Red Flag : Douleur mollet).",cs124,,,,,,,,
Comment prévenir les infections urinaires ?,sante,1,40,,,"infections urinaires,cystite,brûlures mictionnelles","Buvez beaucoup d'eau et ne vous retenez pas d'uriner. Si vous ressentez des brûlures, consultez rapidement (Red Flag : Cystite).",cs125,,,,,,,,
J'ai des douleurs ligamentaires,symptomes,14,27,,,"ligaments,douleur,côté",Ce sont les ligaments qui s'étirent. Changez de position doucement et reposez-vous. La douleur est souvent brève.,cs126,,,,,,,,
Puis-je voyager en avion ?,sport,14,36,,,"avion,voyage,déplacement","Le T2 est le meilleur moment pour voyager. Après 36 semaines, la plupart des compagnies aériennes exigent un certificat médical.",cs127,,,,,,,,
J'ai des pertes de mémoire,emotions,14,40,,,"mémoire,oublis,fatigue",Le 'baby brain' est réel ! Faites des listes et ne vous mettez pas la pression.,cs128,,,,,,,,
Comment choisir un siège auto ?,preparation,20,30,,,"siège auto,achat,sécurité",Choisissez un siège homologué et adapté à la taille de votre voiture. Privilégiez la sécurité.,cs129,,,,,,,,
J'ai des contractions de Braxton Hicks,symptomes,20,40,,,"braxton hicks,fausses contractions,ventre dur","Elles sont normales et indolores. Si elles deviennent régulières et douloureuses avant 37 semaines, consultez (Red Flag : Contractions avant 37).",cs130,,,,,,,,
J'ai des difficultés à respirer,symptomes,28,40,,,"respiration,souffle,essoufflement","L'utérus appuie sur le diaphragme. Reposez-vous et évitez de vous pencher. Si l'essoufflement est soudain et sévère, consultez (Red Flag : Essoufflement).",cs131,,,,,,,,
Comment soulager les douleurs du dos ?,symptomes,28,40,,,"dos,douleur,lombaire","Portez des chaussures confortables, évitez de soulever des charges lourdes et faites des étirements doux.",cs132,,,,,,,,
J'ai des pertes de liquide (urine ou autre),symptomes,37,40,,,"fuite,liquide,perte des eaux","Si c'est clair et abondant, cela peut être la poche des eaux. Contactez immédiatement la maternité (Red Flag : Liquide chaud).",cs133,,,,,,,,
Comment savoir si c'est le vrai travail ?,accouchement,37,40,,,"vrai travail,contractions,régulières","Les contractions sont régulières, de plus en plus longues et douloureuses, et ne s'arrêtent pas au repos.",cs134,,,,,,,,
Puis-je avoir des rapports sexuels en fin de grossesse ?,sexualite,37,40,,,"rapports,sexe,fin de grossesse","Oui, sauf contre-indication médicale (saignements, poche des eaux rompue).",cs135,,,,,,,,
J'ai le baby blues,post-partum,40,42,,,"baby blues,tristesse,pleurs","Le baby blues est fréquent (3-10 jours après l'accouchement). Si la tristesse persiste au-delà de 2 semaines, consultez (Red Flag : Pensées suicidaires).",cs136,,,,,,,,
Comment faire le peau à peau ?,post-partum,40,52,,,"peau à peau,bébé,lien",Le peau à peau est excellent pour le bébé et la maman. Faites-le dès la naissance et régulièrement.,cs137,,,,,,,,
J'ai des douleurs aux poignets (syndrome du canal carpien),post-partum,40,60,,,"poignets,douleur,canal carpien",C'est souvent lié à la rétention d'eau. Portez des attelles la nuit et consultez un kiné.,cs138,,,,,,,,
Comment gérer la fatigue extrême ?,post-partum,40,60,,,"fatigue,épuisement,sommeil",Dormez quand le bébé dort. N'hésitez pas à demander de l'aide pour les tâches ménagères.,cs139,,,,,,,,
J'ai des fuites urinaires,post-partum,40,60,,,"fuites urinaires,périnée,incontinence",C'est un signe que votre périnée a besoin de rééducation. Commencez les exercices de Kegel et consultez un spécialiste.,cs140,,,,,,,,
