red_flag_id,label_fr,label_ar,label_en,keywords_fr,severity,standard_message_fr,standard_message_ar,standard_message_en,linked_articles_ids,sources,triage_questions_fr,triage_questions_ar,triage_questions_en,next_steps_fr,next_steps_ar,next_steps_en,description_fr,action_fr
hémorragie,sang rouge vif,plus que des règles,emergency,"hémorragie,saignement,sang,perte de sang,je saigne,saigner,perte de liquide",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,a03_examens_médicaux_pendant,a12_signes_du_travail,a19_grossesses_multiples,"OMS 2024, ACOG 2023, NHS",Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Une perte de sang rouge vif, surtout si elle est abondante, peut indiquer un décollement placentaire, un placenta prævia ou une menace de fausse couche/accouchement prématuré.",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
crampes sévères,douleur unilatérale,douleur qui ne passe pas,urgent_consult,"crampes sévères,douleur ventre,mal au ventre,contractions douloureuses,douleur intense,mal bas du ventre",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,a03_examens_médicaux_pendant,a12_signes_du_travail,a19_grossesses_multiples,"OMS 2024, ACOG 2023, NHS",Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Des douleurs abdominales intenses et persistantes peuvent être le signe d'un travail prématuré, d'une infection urinaire sévère ou d'une complication utérine.",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
ne sens plus le bébé,mouvements faibles,urgent_consult,Une diminution des mouvements fœtaux peut être un signe de souffrance fœtale. Consultez immédiatement un médecin ou une maternité pour un contrôle. Ne tentez pas de stimuler le bébé vous-même.,"ne sens plus le bébé,bébé bouge pas,mouvements bébé,moins de mouvements,bébé dort,activité fœtale",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,Une diminution ou un arrêt des mouvements fœtaux après 24 semaines peut indiquer une souffrance fœtale et nécessite une vérification immédiate.,Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
céphalée,douleur en barre,urgent_consult,"Ces signes, surtout s'ils sont accompagnés de troubles de la vision ou de douleurs à l'estomac, peuvent être un signe de pré-éclampsie. Consultez un médecin ou rendez-vous aux urgences sans attendre.","céphalée,mal de tête,migraine,tête qui fait mal,douleur tête",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"ACOG 2023, CDC",,a03_examens_médicaux_pendant,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Un mal de tête violent et persistant, surtout s'il est accompagné de troubles visuels, peut être un signe de pré-éclampsie.",Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
éclairs lumineux,taches devant les yeux,urgent_consult,Ces signes peuvent être liés à une hypertension artérielle ou à une pré-éclampsie. Consultez immédiatement un médecin ou une maternité.,"éclairs lumineux,trouble vision,yeux,voir des étoiles,vision floue,mouches volantes",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Ces troubles visuels sont un signe neurologique qui, combiné à d'autres symptômes, peut indiquer une hypertension ou une pré-éclampsie.",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
température élevée,infection,urgent_consult,Une fièvre inexpliquée peut indiquer une infection grave. Consultez un médecin sans attendre pour un diagnostic et un traitement approprié.,"température élevée,fièvre,chaud,38.5,39,infection,grippe",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Une fièvre supérieure à 38.5°C peut indiquer une infection (urinaire, grippe, etc.) qui peut être dangereuse pour la grossesse si elle n'est pas traitée rapidement.",Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
ne garde rien,déshydratation,urgent_consult,Des vomissements si sévères que vous ne parvenez pas à vous hydrater nécessitent une prise en charge médicale pour éviter la déshydratation et la malnutrition.,"ne garde rien,vomissements,je vomis,nausées,hyperémèse,je n'arrive pas à manger",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,Des vomissements incoercibles (hyperémèse gravidique) peuvent entraîner une déshydratation et des carences nutritionnelles sévères.,Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
gonflement visage,œdème,urgent_consult,"Un œdème soudain et important du visage, des mains ou des pieds peut être un signe de pré-éclampsie. Consultez un médecin rapidement.","gonflement visage,œdème,gonflé,mains gonflées,pieds gonflés,gonflement soudain",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Un œdème soudain et important du visage, des mains ou des pieds peut être un signe de pré-éclampsie.",Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
liquide chaud,écoulement vaginal,urgent_consult,"Une perte de liquide (clair, jaune ou verdâtre) peut indiquer une rupture prématurée des membranes. Consultez immédiatement une maternité.","liquide chaud,perte des eaux,poche des eaux,liquide amniotique,ça coule",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"ACOG 2023, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Une perte de liquide clair et chaud, même en petite quantité, peut indiquer une rupture de la poche des eaux.",Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
cystite,infection urinaire,urgent_consult,"Ces signes peuvent indiquer une infection urinaire qui, si elle n'est pas traitée, peut entraîner une infection rénale ou un accouchement prématuré. Consultez un médecin.","cystite,brûlure urinaire,mal à la vessie,infection urinaire,je fais pipi souvent",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre médecin ou sage-femme dans la journée pour une consultation rapide.,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,Ce signe d'alerte (cystite) peut indiquer une complication qui nécessite une évaluation médicale rapide.,Contactez votre médecin ou sage-femme dans la journée pour une consultation rapide.
essoufflement,difficulté à respirer,emergency,Ces signes peuvent indiquer une complication cardiaque ou pulmonaire grave (embolie pulmonaire). Appelez immédiatement les services d'urgence.,"essoufflement,difficulté à respirer,je respire mal,souffle court",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre médecin ou sage-femme dans la journée pour une consultation rapide.,CDC,,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,Ce signe d'alerte (essoufflement) peut indiquer une complication qui nécessite une évaluation médicale rapide.,Contactez votre médecin ou sage-femme dans la journée pour une consultation rapide.
pensées suicidaires,mal-être,emergency,"Si vous avez des pensées de vous faire du mal ou de faire du mal à votre bébé, il s'agit d'une urgence psychiatrique. Contactez immédiatement les services d'urgence ou un professionnel de santé mentale.","pensées suicidaires,je veux mourir,je suis triste,dépression,mal-être,je n'y arrive plus",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,"CDC, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,Ces pensées sont un signe de détresse psychologique sévère (dépression périnatale) et nécessitent une aide immédiate.,Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
perte de conscience,évanouissement,emergency,Les convulsions peuvent être un signe d'éclampsie (complication de la pré-éclampsie). Appelez immédiatement les services d'urgence.,"perte de conscience,évanouissement,je tombe,malaise,je m'évanouis",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,Ce signe d'alerte (perte de conscience) peut indiquer une complication qui nécessite une évaluation médicale rapide.,Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
douleur foie,syndrome HELLP,emergency,Ces signes peuvent indiquer une complication grave comme le syndrome HELLP ou une pré-éclampsie sévère. Consultez immédiatement les services d'urgence.,"douleur foie,mal sous les côtes,douleur épigastrique,mal en haut du ventre",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,Ce signe d'alerte (douleur foie) peut indiquer une complication qui nécessite une évaluation médicale rapide.,Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
hémorragie,perte de sang,emergency,Un saignement abondant après l'accouchement est une urgence vitale. Appelez immédiatement les services d'urgence.,"hémorragie,saignement,sang,perte de sang,je saigne,saigner,perte de liquide",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,"OMS 2024, ACOG 2023",,"a03_examens_médicaux_pendant,a12_signes_du_travail",,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,,"Une perte de sang rouge vif, surtout si elle est abondante, peut indiquer un décollement placentaire, un placenta prævia ou une menace de fausse couche/accouchement prématuré.",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
douleur_mollet,Douleur au mollet,,,"mollet,douleur jambe,jambe gonflée,phlébite",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,,,a01_symptômes_de_grossesse,"ACOG, NHS",,,,,,,"Une douleur, rougeur et chaleur dans un seul mollet peut être le signe d'une thrombose veineuse profonde (phlébite), un risque accru pendant la grossesse.",Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
prurit_severe,Démangeaisons sévères,,,"démangeaisons,ça gratte,prurit,mains,pieds",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans la journée. Vous devez être examinée rapidement.,,,a01_symptômes_de_grossesse,"ACOG, NHS",,,,,,,"Des démangeaisons intenses, surtout des paumes des mains et des plantes des pieds, peuvent être le signe d'une cholestase gravidique, un problème hépatique.",Contactez votre maternité ou votre médecin traitant dans la journée. Vous devez être examinée rapidement.
diminution_urine,Diminution des urines,,,"je fais moins pipi,urine,déshydratation,rein",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,,,a01_symptômes_de_grossesse,"ACOG, NHS",,,,,,,Une production d'urine très faible ou absente peut être un signe de déshydratation sévère ou de problème rénal lié à la pré-éclampsie.,Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
douleur_épaule,Douleur à l'épaule,,,"mal épaule,douleur haut du corps,grossesse extra-utérine",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,,,a01_symptômes_de_grossesse,"ACOG, NHS",,,,,,,"Une douleur à l'épaule, souvent appelée douleur référée, peut être un signe de saignement interne (comme une rupture de grossesse extra-utérine).",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
rupture_utérine,Douleur cicatrice césarienne,,,"cicatrice césarienne,douleur ancienne cicatrice,rupture utérine",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,,,a10_différentes_méthodes_daccouchement,"ACOG, NHS",,,,,,,"Une douleur très vive et soudaine au niveau d'une ancienne cicatrice de césarienne peut être un signe de rupture utérine, une urgence vitale.",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
contractions_avant_37,Contractions avant 37 semaines,,,"contractions,travail prématuré,bébé arrive trop tôt",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,,,a12_signes_du_travail,"ACOG, NHS",,,,,,,Des contractions régulières et douloureuses avant la 37e semaine peuvent indiquer un accouchement prématuré.,Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
chute_violente,Chute ou traumatisme,,,"je suis tombée,chute,accident,choc",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,,,a01_symptômes_de_grossesse,"ACOG, NHS",,,,,,,"Toute chute ou traumatisme abdominal, même léger, nécessite une vérification pour écarter un décollement placentaire ou une souffrance fœtale.",Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
douleur_poitrine,Douleur à la poitrine,,,"mal poitrine,cœur,douleur thoracique,embolie",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,,,a01_symptômes_de_grossesse,"ACOG, NHS",,,,,,,"Une douleur soudaine et intense à la poitrine, surtout avec essoufflement, peut être un signe d'embolie pulmonaire, un risque accru pendant la grossesse.",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
vomissements_sang,Vomissements de sang,,,"je vomis du sang,sang dans les vomissements",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,,,a04_nausées_matinales,"ACOG, NHS",,,,,,,Vomissements contenant du sang frais ou coagulé.,Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
douleur_urinaire_sang,Douleur urinaire avec sang,,,"sang dans les urines,cystite,infection urinaire",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans la journée. Vous devez être examinée rapidement.,,,a01_symptômes_de_grossesse,"ACOG, NHS",,,,,,,"Douleur en urinant accompagnée de sang dans les urines, signe d'une infection urinaire ou rénale plus grave.",Contactez votre maternité ou votre médecin traitant dans la journée. Vous devez être examinée rapidement.
jaunisse,Jaunisse,,,"jaune,yeux jaunes,peau jaune,ictère",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans la journée. Vous devez être examinée rapidement.,,,a01_symptômes_de_grossesse,"ACOG, NHS",,,,,,,"Coloration jaune de la peau et des yeux, pouvant indiquer un problème hépatique (cholestase ou autre).",Contactez votre maternité ou votre médecin traitant dans la journée. Vous devez être examinée rapidement.
rupture_prématurée,Perte de liquide avant 37s,,,"perte des eaux,liquide chaud,avant terme,rupture prématurée",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,,,a12_signes_du_travail,"ACOG, NHS",,,,,,,"Rupture de la poche des eaux avant la 37e semaine de grossesse, nécessitant une prise en charge immédiate.",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
hypoglycémie,Signes d'hypoglycémie,,,"sucre bas,tremblements,faim intense,malaise diabète",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.,,,a03_examens_médicaux_pendant,"ACOG, NHS",,,,,,,"Tremblements, sueurs, faim intense et confusion, surtout chez les femmes diabétiques ou avec diabète gestationnel.",Contactez votre maternité ou votre médecin traitant dans l'heure. Vous devez être examinée rapidement.
hypertension_severe,Tension très élevée,,,"tension,hypertension,14/9,16/10",emergency,Ce signe d'alerte est de niveau **EMERGENCY**. Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.,,,a03_examens_médicaux_pendant,"ACOG, NHS",,,,,,,"Une tension artérielle très élevée (ex: 160/110 mmHg ou plus) est une urgence, signe d'une pré-éclampsie sévère.",Appelez immédiatement les urgences (SAMU/Ambulance) ou rendez-vous à la maternité la plus proche. Ne conduisez pas vous-même.
douleur_dentaire,Douleur dentaire sévère,,,"mal aux dents,dent,abcès,infection dentaire",urgent_consult,Ce signe d'alerte est de niveau **URGENT_CONSULT**. Contactez votre dentiste ou votre médecin traitant dans la journée. Vous devez être examinée rapidement.,,,a01_symptômes_de_grossesse,"ACOG, NHS",,,,,,,Une infection dentaire non traitée peut avoir des conséquences sur la grossesse (risque d'accouchement prématuré).,Contactez votre dentiste ou votre médecin traitant dans la journée. Vous devez être examinée rapidement.
