supplement_id,name_fr,name_ar,name_en,category,short_description_fr,short_description_ar,short_description_en,pregnancy_safety,pregnancy_notes_fr,typical_dose_text_fr,precautions_fr,sources,related_symptoms_ids,related_article_ids,notes_localisation,when_to_take_fr,when_to_take_ar,when_to_take_en,food_sources_local_fr,food_sources_local_ar,food_sources_local_en,contraindications_fr,contraindications_ar,contraindications_en,trimester_relevance
s01_acide_folique,Acide folique (Vitamine B9),,,vitamine,Vitamine essentielle pour la formation du tube neural du bébé et la prévention des malformations congénitales.,,,ok,L'acide folique est crucial pendant les premières semaines de grossesse pour prévenir les anomalies du tube neural (spina bifida). La supplémentation doit idéalement commencer avant la conception et se poursuivre jusqu'à la 12e semaine. Les besoins augmentent de 50% pendant la grossesse.,"L'OMS et la HAS recommandent généralement 400 à 800 μg par jour, à débuter idéalement 4 semaines avant la conception. Certaines situations (antécédents, diabète) peuvent nécessiter des doses plus élevées sur avis médical.",Aucune toxicité connue aux doses recommandées. Les doses très élevées (>1000 μg/jour) doivent être prescrites médicalement.,"OMS 2016, HAS 2017, ACOG 2017","fatigue, anémie","a02_alimentation_pendant_la,a03_examens_médicaux_pendant","Aliments riches au Maghreb : légumes verts (épinards, blettes), légumineuses (lentilles, pois chiches), dattes","Le matin, de préférence avant le petit-déjeuner.",,,"Légumes verts à feuilles (épinards, chou), lentilles, pois chiches, agrumes.",,,"Rare, sauf en cas d'allergie connue. Consultez en cas d'antécédents de cancer hormono-dépendant.",,,"T1, T2, T3 (essentiel T1)"
s02_fer,Fer,,,minéral,"Minéral essentiel pour la production d'hémoglobine, le transport de l'oxygène et la prévention de l'anémie.",,,ok,"Les besoins en fer augmentent considérablement pendant la grossesse pour soutenir la croissance du fœtus et du placenta, ainsi que l'augmentation du volume sanguin maternel. La carence en fer est la cause la plus fréquente d'anémie pendant la grossesse, associée à un risque accru de faible poids de naissance et de naissance prématurée.","L'OMS recommande une supplémentation préventive de 30 à 60 mg de fer élémentaire par jour. En cas d'anémie avérée, la dose peut être augmentée à 100-200 mg par jour. La dose exacte doit être déterminée par un professionnel de santé après un bilan sanguin.","Les suppléments de fer peuvent causer des troubles gastro-intestinaux (constipation, nausées). Il est recommandé de les prendre avec de la vitamine C pour améliorer l'absorption et d'éviter de les prendre avec du thé, du café ou des produits laitiers.","OMS 2024, ACOG 2021, HAS","fatigue, vertiges, pâleur","a02_alimentation_pendant_la,a03_examens_médicaux_pendant","Sources riches au Maghreb : viandes rouges, lentilles, pois chiches, épinards (mloukhia).","À jeun ou 1h avant/2h après un repas, avec un verre de jus d'orange (vitamine C). Éviter le thé/café.",,,"Viande rouge, lentilles, haricots secs, épinards, dattes (Maghreb).",,,Hémochromatose. Peut causer de la constipation ou des troubles digestifs.,,,"T2, T3 (souvent prescrit après T1)"
s03_vitamine_d,Vitamine D,,,vitamine,"Essentielle pour l'absorption du calcium, la santé osseuse de la mère et du bébé, et la fonction immunitaire.",,,ok,"La carence en vitamine D est fréquente pendant la grossesse et est associée à un risque accru de pré-éclampsie, de diabète gestationnel et de faible poids de naissance. La supplémentation est particulièrement recommandée pour les femmes ayant une faible exposition au soleil ou une peau foncée.","Le NHS (UK) recommande 10 µg (400 UI) par jour pour toutes les femmes enceintes. L'ACOG (USA) recommande 600 UI par jour. En France, une dose unique de 100 000 UI est souvent prescrite au 6ème ou 7ème mois. La dose doit être individualisée par un professionnel de santé.","Un surdosage en vitamine D est rare mais peut être toxique, entraînant une hypercalcémie. Ne pas dépasser 4000 UI/jour sans avis médical.","NHS, ACOG, HAS","douleurs osseuses, faiblesse musculaire","a02_alimentation_pendant_la,a03_examens_médicaux_pendant","Sources locales : poissons gras (sardines), œufs. L'exposition au soleil reste la source principale mais peut être limitée par les vêtements.",Au cours d'un repas contenant des graisses pour une meilleure absorption.,,,"Poissons gras (sardines, maquereaux), œufs, lait enrichi. Exposition au soleil modérée.",,,Hypercalcémie. Rare aux doses recommandées.,,,"T1, T2, T3"
s04_iode,Iode,,,minéral,"Indispensable à la production des hormones thyroïdiennes, cruciales pour le développement du cerveau du fœtus.",,,ok,Les besoins en iode augmentent de près de 50% pendant la grossesse. Une carence peut entraîner des troubles du développement neurologique irréversibles chez l'enfant (crétinisme). La supplémentation est recommandée dans les zones où le sel n'est pas systématiquement iodé.,L'OMS et l'ACOG recommandent un apport de 220-250 µg par jour. La plupart des vitamines prénatales contiennent 150 µg d'iode. L'utilisation de sel de cuisine iodé est une stratégie de santé publique efficace.,"Un excès d'iode peut également être nocif pour la thyroïde. Ne pas dépasser 500 µg/jour sans avis médical, surtout en cas de maladie thyroïdienne préexistante.","OMS 2023, ACOG, NHS","fatigue, prise de poids inexpliquée","a02_alimentation_pendant_la,a03_examens_médicaux_pendant","Sources locales : produits de la mer, produits laitiers, œufs. Utiliser du sel iodé pour la cuisine.","Le matin, avec un grand verre d'eau.",,,"Poissons, fruits de mer, produits laitiers, sel iodé.",,,Hyperthyroïdie ou nodules thyroïdiens. Consultez votre médecin.,,,"T1, T2, T3"
s05_dha_omega3,DHA (Oméga-3),,,acide gras,Acide gras essentiel pour le développement du cerveau et de la rétine du fœtus.,,,ok,Un apport suffisant en DHA est associé à une meilleure acuité visuelle et à un meilleur développement cognitif chez l'enfant. Il pourrait également réduire le risque d'accouchement prématuré.,"Les recommandations sont d'au moins 200 mg de DHA par jour. Cela peut être atteint en consommant 1 à 2 portions de poisson gras par semaine. Si l'apport alimentaire est insuffisant, une supplémentation est recommandée.",Les suppléments d'huile de poisson peuvent causer des rots de poisson et des troubles digestifs. Choisir des huiles purifiées pour éviter les contaminants (mercure).,"ACOG, OMS, NIH","humeur changeante, sécheresse cutanée",a02_alimentation_pendant_la,"Sources locales : sardines, maquereau, thon. Les huiles végétales (lin, colza) sont des sources d'ALA, un précurseur du DHA.",Au cours du repas principal pour éviter les reflux.,,,"Poissons gras (saumon, sardines), noix, graines de lin, huile de colza.",,,Troubles de la coagulation. Consultez en cas de traitement anticoagulant.,,,"T2, T3 (développement cérébral)"
s06_calcium,Calcium,,,minéral,"Essentiel pour la construction des os et des dents du bébé, ainsi que pour la santé osseuse de la mère.",,,ok,"Si l'apport maternel est insuffisant, le fœtus puise dans les réserves de la mère, ce qui peut augmenter son risque d'ostéoporose plus tard. Les besoins sont particulièrement élevés au troisième trimestre.","L'apport recommandé est de 1000 à 1300 mg par jour. La supplémentation n'est généralement nécessaire que si l'apport alimentaire (produits laitiers, légumes verts) est insuffisant.",Un excès de calcium peut causer de la constipation et interférer avec l'absorption du fer et du zinc. Ne pas dépasser 2500 mg/jour.,"ACOG, NIH","crampes, douleurs osseuses","a01_symptômes_de_grossesse,a02_alimentation_pendant_la","Sources locales : produits laitiers (lait, yaourt, fromage), sardines avec arêtes, légumes verts (blettes, épinards), amandes.",Répartir les prises au cours des repas.,,,"Produits laitiers, légumes verts, amandes, graines de sésame.",,,"Hypercalcémie, calculs rénaux.",,,"T2, T3"
s07_magnesium,Magnésium,,,minéral,"Participe à plus de 300 réactions enzymatiques, aide à réguler la pression artérielle et peut réduire les crampes.",,,ok,Le magnésium peut aider à prévenir les crampes musculaires fréquentes pendant la grossesse. Il est également étudié pour son rôle potentiel dans la prévention de la pré-éclampsie et de la restriction de croissance fœtale.,"L'apport recommandé est de 350-360 mg par jour. La supplémentation (généralement 300 mg/jour) peut être envisagée en cas de crampes ou de risque d'hypertension, sur avis médical.",Un excès de magnésium peut causer de la diarrhée. Les personnes souffrant d'insuffisance rénale doivent éviter les suppléments.,"ODS-NIH, ACOG","crampes, insomnie, stress","a04_nausées_matinales,a05_exercice_physique_pendant","Sources locales : légumineuses (lentilles, haricots), fruits secs (dattes, figues), noix et graines (amandes, sésame), céréales complètes.","Le soir, avant de dormir, pour favoriser la détente.",,,"Chocolat noir, noix, graines, céréales complètes, bananes.",,,Insuffisance rénale sévère.,,,"T1, T2, T3"
s08_vitamine_b12,Vitamine B12,,,vitamine,"Cruciale pour la formation des globules rouges, la fonction nerveuse et la synthèse de l'ADN.",,,ok,Une carence en B12 peut entraîner une anémie et des troubles neurologiques chez la mère et le fœtus. La supplémentation est essentielle pour les femmes végétariennes et végétaliennes.,"L'apport recommandé est de 2,6 µg par jour. La plupart des vitamines prénatales contiennent cette dose. En cas de carence avérée, des doses plus élevées sont nécessaires sur prescription médicale.","La vitamine B12 est considérée comme sûre, même à des doses élevées, car l'excès est éliminé par l'organisme.","ACOG, ODS-NIH","fatigue, anémie","a01_symptômes_de_grossesse,a02_alimentation_pendant_la,a03_examens_médicaux_pendant","Sources : produits d'origine animale uniquement (viande, poisson, œufs, produits laitiers).","Le matin, à jeun.",,,"Viande, poisson, œufs, produits laitiers (essentiel pour les végétaliens).",,,Aucune aux doses recommandées.,,,"T1, T2, T3"
s09_zinc,Zinc,,,minéral,"Oligo-élément essentiel pour la croissance cellulaire, le développement du fœtus et la fonction immunitaire.",,,à_surveiller,"Une carence en zinc peut être associée à un faible poids de naissance et à un accouchement prématuré. Cependant, l'OMS ne recommande pas la supplémentation systématique, sauf en cas de carence avérée.",L'apport recommandé est de 11-12 mg par jour. La supplémentation n'est généralement pas nécessaire avec une alimentation équilibrée. La limite supérieure est de 40 mg/jour.,"Un excès de zinc peut interférer avec l'absorption du cuivre et du fer, et causer des nausées. Ne pas dépasser la limite supérieure sans avis médical.","OMS, ACOG, NIH","faiblesse immunitaire, perte de cheveux","a03_examens_médicaux_pendant,a07_changements_émotionnels_pendant","Sources locales : viandes rouges, légumineuses (lentilles, pois chiches), graines (courge, sésame). L'absorption est meilleure à partir de sources animales.",Au cours d'un repas.,,,"Viande, fruits de mer, légumineuses, graines de courge.",,,Interactions avec le fer et le cuivre. Respecter les doses.,,,"T1, T2, T3"
s10_vitamine_c,Vitamine C,,,vitamine,"Antioxydant important pour la synthèse du collagène, la fonction immunitaire et l'absorption du fer.",,,à_surveiller,"La vitamine C est essentielle, mais l'OMS ne recommande pas la supplémentation systématique car les preuves de bénéfices sont insuffisantes et certaines études suggèrent un risque accru de rupture prématurée des membranes à haute dose.","L'apport recommandé est de 85-120 mg par jour, facilement atteint par une alimentation riche en fruits et légumes. La supplémentation n'est généralement pas nécessaire.",Des doses supérieures à 2000 mg/jour peuvent causer des troubles digestifs. Il est préférable de privilégier les sources alimentaires.,"OMS 2023, ACOG, ANSES","fatigue, saignements des gencives",a02_alimentation_pendant_la,"Sources locales abondantes : agrumes (oranges, citrons), poivrons, persil, légumes verts.",Au cours des repas.,,,"Agrumes (oranges, citrons), poivrons, kiwis, fraises.",,,Calculs rénaux (à très fortes doses).,,,"T1, T2, T3"
s11_vitamine_a,Vitamine A,,,vitamine,"Essentielle pour la vision, la fonction immunitaire et le développement fœtal, mais un excès est dangereux.",,,à_surveiller,Un excès de vitamine A sous forme de rétinol est tératogène et peut causer de graves malformations congénitales. La supplémentation n'est recommandée qu'en cas de carence avérée et sous stricte surveillance médicale.,L'apport recommandé est de 770 µg ER par jour. La limite supérieure de sécurité est de 3000 µg ER (10 000 UI) par jour. Il est crucial de ne pas dépasser cette limite.,"Éviter les suppléments contenant de fortes doses de vitamine A et la consommation régulière de foie. Privilégier les caroténoïdes (provitamine A) des fruits et légumes, qui sont sans danger.","OMS 2023, ACOG, NHS","vision nocturne faible, peau sèche",a02_alimentation_pendant_la,"Sources de caroténoïdes : carottes, patates douces, épinards. Le foie d'agneau ou de bœuf, bien que culturellement consommé, doit être évité ou limité.",Au cours d'un repas contenant des graisses.,,,"Foie (à éviter pendant la grossesse), carottes, patates douces, épinards.",,,**Tératogène à fortes doses.** Ne jamais dépasser les apports recommandés.,,,"T2, T3 (éviter les excès T1)"
s12_probiotiques,Probiotiques,,,micro-organismes,Micro-organismes vivants qui peuvent améliorer la santé digestive et immunitaire de la mère et du bébé.,,,ok,"Les probiotiques sont considérés comme sûrs pendant la grossesse. Ils peuvent aider à réduire le risque de diabète gestationnel, de pré-éclampsie, et d'allergies (eczéma) chez le bébé.","Il n'y a pas de dosage standard. La posologie dépend des souches spécifiques (Lactobacillus, Bifidobacterium). Il est recommandé de suivre les instructions du produit et de consulter un professionnel de santé.","Les effets secondaires sont rares et généralement légers (gaz, ballonnements). Les personnes immunodéprimées doivent consulter un médecin avant toute prise.","Revue Cochrane 2018, WAO, WGO 2017","constipation, ballonnements, nausées",a04_nausées_matinales,"Sources locales : laits fermentés (Lben, Rayeb), yaourts nature, fromages frais traditionnels (Jben).",Le matin à jeun ou le soir avant de dormir.,,,"Yaourts, kéfir, légumes fermentés.",,,Immunodépression sévère. Consultez votre médecin.,,,"T1, T2, T3"
s13_choline,Choline,,,nutriment essentiel,Nutriment essentiel pour le développement du cerveau et du système nerveux du fœtus.,,,ok,La plupart des femmes enceintes n'atteignent pas l'apport recommandé en choline par l'alimentation seule. La choline joue un rôle clé dans la prévention des anomalies du tube neural et le développement cognitif de l'enfant.,"L'apport recommandé est de 450 mg par jour. La supplémentation peut être nécessaire pour atteindre cet objectif, sur avis médical.",Un apport excessif (plus de 3500 mg/jour) peut causer une odeur corporelle de poisson et des troubles digestifs.,"ACOG, NIH ODS, IOM/NAM","fatigue, troubles de la mémoire",a02_alimentation_pendant_la,"Sources locales : œufs, viande, poisson, légumineuses (soja, haricots), légumes crucifères (brocoli).",Au cours des repas.,,,"Œufs, viande, poisson, légumineuses.",,,Aucune aux doses recommandées.,,,"T1, T2, T3"
s14_vitamine_k,Vitamine K,,,vitamine,Essentielle pour la coagulation sanguine. Une dose est administrée à tous les nouveau-nés pour prévenir les saignements.,,,ok,"La supplémentation prénatale n'est généralement pas nécessaire, car la carence est rare. L'enjeu principal est la prévention de la maladie hémorragique du nouveau-né par une injection à la naissance.","L'apport recommandé est de 90 µg par jour, facilement atteint par l'alimentation. Aucune supplémentation de routine n'est recommandée.",Peut interagir avec les médicaments anticoagulants. La supplémentation doit être validée par un médecin.,"NIH, ACOG, HAS","saignements, ecchymoses",a03_examens_médicaux_pendant,"Sources locales : légumes verts à feuilles (Mloukhiya, Bakoula), huiles végétales.",Au cours d'un repas contenant des graisses.,,,"Légumes verts à feuilles (chou, épinards), brocolis.",,,Interactions avec les anticoagulants.,,,T3 (souvent donné au nouveau-né)
s15_selenium,Sélénium,,,minéral,Antioxydant important pour la fonction thyroïdienne et la protection cellulaire.,,,à_surveiller,"Une carence peut être liée à un risque de pré-éclampsie et de troubles thyroïdiens. Cependant, la supplémentation systématique n'est pas recommandée car un excès est toxique.",L'apport recommandé est de 60 µg par jour. La limite supérieure est de 400 µg/jour. La supplémentation doit être évitée sauf en cas de carence avérée et sur avis médical.,"Un excès de sélénium (sélénose) est toxique et peut causer la perte de cheveux, des troubles digestifs et neurologiques.","ODS-NIH, ATA, EFSA","fatigue, faiblesse immunitaire","a01_symptômes_de_grossesse,a02_alimentation_pendant_la,a03_examens_médicaux_pendant","Sources locales : produits animaux (viande, abats), poissons, œufs, céréales. La teneur dépend de la richesse des sols.",Au cours des repas.,,,"Noix du Brésil (en petite quantité), poissons, œufs, céréales complètes.",,,Sélénose (à très fortes doses).,,,"T1, T2, T3"
