template_id,title_fr,title_ar,title_en,description_fr,description_ar,description_en,type,week_min,week_max,recommended_day,importance_level,country_scope,sources,duration_min,location_hint_fr,location_hint_ar,location_hint_en,prep_instructions_fr,prep_instructions_ar,prep_instructions_en,is_mandatory,doctor_notes_fr,prep_checklist_fr,recommended_week_exact,patient_notes_fr,timing_in_day,estimated_duration_min,reminder_offsets,is_checkable
c01_consultation_mensuelle,Première consultation prénatale,الاستشارة الأولى قبل الولادة,,Rendez-vous important : Première consultation prénatale. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,medical,6,10,4.0,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Apporter votre carnet de santé, les derniers résultats d'analyses et préparer vos questions.",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,true
c02_echographie_t1,Échographie de datation,تصوير بالموجات فوق الصوتية لتحديد التاريخ,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,self_care,7,12,any_day,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.,,Pense à noter toutes tes questions sur le développement du bébé. C'est le moment de les poser au médecin !,morning,45.0,"-1d,-1h",false
c03_bilan_sanguin_t1,Dépistage de la trisomie 21 (T21),فحص متلازمة داون,,Rendez-vous important : Dépistage de la trisomie 21 (T21). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,11,13,any_day,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c04_echographie_t2,Échographie du premier trimestre (Morphologique),تصوير بالموجات فوق الصوتية للثلث الأول,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,self_care,11,14,any_day,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.,,Pense à noter toutes tes questions sur le développement du bébé. C'est le moment de les poser au médecin !,morning,45.0,"-1d,-1h",false
c05_consultation_mensuelle,Consultation du 4ème mois,استشارة الشهر الرابع,,Rendez-vous important : Consultation du 4ème mois. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,medical,14,17,2,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Apporter votre carnet de santé, les derniers résultats d'analyses et préparer vos questions.",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,morning,30.0,"-1d,-1h",true
c06_echographie_t2,Échographie du deuxième trimestre (Morphologique),تصوير بالموجات فوق الصوتية للثلث الثاني,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,self_care,20,22,any_day,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.,,Pense à noter toutes tes questions sur le développement du bébé. C'est le moment de les poser au médecin !,morning,45.0,"-1d,-1h",false
c07_test_diabete,Test de dépistage du diabète gestationnel (HGPO),اختبار سكري الحمل,,Rendez-vous important : Test de dépistage du diabète gestationnel (HGPO). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,24,28,any_day,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Être à jeun (ne rien manger ni boire, sauf de l'eau, depuis la veille au soir).",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c08_consultation_mensuelle,Consultation du 7ème mois,استشارة الشهر السابع,,Rendez-vous important : Consultation du 7ème mois. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,medical,28,31,1,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Apporter votre carnet de santé, les derniers résultats d'analyses et préparer vos questions.",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,morning,30.0,"-1d,-1h",true
c09_echographie_t3,Échographie du troisième trimestre (Croissance),تصوير بالموجات فوق الصوتية للثلث الثالث,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,self_care,32,34,any_day,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.,,Pense à noter toutes tes questions sur le développement du bébé. C'est le moment de les poser au médecin !,morning,45.0,"-1d,-1h",false
c10_cours_preparation,Cours de préparation à l'accouchement,دروس التحضير للولادة,,Rendez-vous important : Cours de préparation à l'accouchement. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,30,36,any_day,1,global,"HAS, NHS",60,Maternité ou centre de préparation à la naissance.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,"-7d,-1d",false
c11_bilan_sanguin_t1,"Bilan sanguin complet (Anémie, Sérologies)",تحليل دم شامل,,"Rendez-vous important : Bilan sanguin complet (Anémie, Sérologies). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.",,,medical,10,14,3,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Être à jeun (sauf indication contraire du médecin).,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,true
c12,Achat des premiers vêtements de bébé,شراء ملابس الطفل الأولى,,Rendez-vous important : Achat des premiers vêtements de bébé. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,20,28,any_day,1,global,none,15,À la maison ou en magasin spécialisé.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c13,Installation de la chambre de bébé,تجهيز غرفة الطفل,,Rendez-vous important : Installation de la chambre de bébé. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,30,36,any_day,1,global,none,15,À la maison ou en magasin spécialisé.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c14,Faire sa valise de maternité,تجهيز حقيبة الولادة,,Rendez-vous important : Faire sa valise de maternité. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,35,37,any_day,2,global,none,60,Maternité ou centre de préparation à la naissance.,,,Faire une liste des essentiels pour vous et le bébé. Laisser la valise à portée de main.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c15,Repos et relaxation,الراحة والاسترخاء,,Rendez-vous important : Repos et relaxation. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,1,40,any_day,1,global,none,15,À la maison.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c16_rdv_anesthesiste,Rendez-vous avec l'anesthésiste,موعد مع طبيب التخدير,,Rendez-vous important : Rendez-vous avec l'anesthésiste. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,34,36,any_day,2,global,"HAS, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,"-1d,-1h",false
c17,Vaccination contre la grippe (si saison),التطعيم ضد الأنفلونزا,,Rendez-vous important : Vaccination contre la grippe (si saison). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,1,40,any_day,1,global,"OMS, ACOG",15,À la maison.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,"Renseigne-toi sur les vaccins recommandés (grippe, coqueluche) et les bénéfices pour le bébé.",any_time,60.0,-1d,false
c18,Vérification de l'apport en Vitamine D,فحص فيتامين د,,Rendez-vous important : Vérification de l'apport en Vitamine D. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,10,20,any_day,1,global,"HAS, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c19_rdv_dentiste,Bilan bucco-dentaire,فحص الأسنان,,Rendez-vous important : Bilan bucco-dentaire. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,12,24,any_day,1,global,"HAS, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c20,Début du congé maternité,بداية إجازة الأمومة,,Rendez-vous important : Début du congé maternité. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,admin,34,36,2,2,global,none,15,À la maison.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,true
c21,Consultation post-natale,استشارة ما بعد الولادة,,Rendez-vous important : Consultation post-natale. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,medical,42,56,5,2,global,"HAS, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,morning,30.0,"-1d,-1h",true
c22,Rendez-vous chez le pédiatre (1er mois),موعد مع طبيب الأطفال (الشهر الأول),,Rendez-vous important : Rendez-vous chez le pédiatre (1er mois). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,medical,42,56,1,2,global,none,30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,"-1d,-1h",true
c23_reeducation_perinee,Séance de rééducation périnéale,جلسات إعادة تأهيل قاع الحوض,,Rendez-vous important : Séance de rééducation périnéale. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,56,84,any_day,1,global,"HAS, NHS",60,Maternité ou centre de préparation à la naissance.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c24,Achat du siège auto,شراء مقعد السيارة,,Rendez-vous important : Achat du siège auto. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,self_care,30,36,any_day,1,global,none,15,À la maison ou en magasin spécialisé.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c25,Vérification des droits et aides,التحقق من الحقوق والمساعدات,,Rendez-vous important : Vérification des droits et aides. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,admin,1,12,3,1,global,none,15,À la maison.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,true
c26_consultation_mensuelle,Consultation du 8ème mois,,,Consultation mensuelle avec examen clinique et surveillance du col.,,,medical,32,35,3,5,all,HAS,30,Gynécologue ou sage-femme,,,Aucune,,,True,Vérification de la présentation du bébé et du col.,• Apporter les derniers résultats d'analyse. • Préparer les questions sur l'accouchement.,34.0,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,morning,30.0,"-1d,-1h",true
c27_consultation_mensuelle,Consultation du 9ème mois,,,Consultation finale avec monitoring fœtal et vérification du bassin.,,,medical,36,40,1,5,all,HAS,45,Maternité,,,Aucune,,,True,"Monitoring, vérification du col et du bassin.",• Avoir sa valise de maternité prête. • Préparer le plan de naissance.,38.0,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,morning,30.0,"-1d,-1h",true
c28,Cours de Préparation à l'Allaitement,,,"Séance d'information sur les techniques d'allaitement, les positions et la gestion des difficultés.",,,self_care,28,35,any_day,3,all,OMS,90,Sage-femme ou PMI,,,Aucune,,,False,Information sur les bénéfices et les techniques.,• Venir avec un soutien-gorge d'allaitement. • Noter les questions sur le colostrum.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,"-7d,-1d",false
c29,Atelier Portage Bébé,,,Apprendre à porter votre bébé en écharpe ou porte-bébé physiologique pour un maximum de confort et de sécurité.,,,self_care,30,40,any_day,2,all,experts,120,Association ou magasin spécialisé,,,Aucune,,,False,Conseils sur le portage physiologique.,• Venir avec votre écharpe si vous en avez une. • Porter des vêtements confortables.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
c30_vaccin_coqueluche,Vaccin Coqueluche (DTP),,,Vaccination recommandée pour la mère afin de transmettre des anticorps au bébé et le protéger dès la naissance.,,,medical,20,36,4,4,all,"HAS, CDC",15,Médecin traitant ou maternité,,,Aucune,,,False,Vérification des antécédents et administration du vaccin.,• Vérifier son carnet de vaccination. • Informer le médecin si fièvre récente.,28.0,"Renseigne-toi sur les vaccins recommandés (grippe, coqueluche) et les bénéfices pour le bébé.",any_time,60.0,-1d,true
c31,Inscription Crèche / Garderie,,,Démarches administratives pour réserver une place en crèche ou chez une assistante maternelle.,,,admin,12,24,2,3,all,administration,60,Mairie ou établissements privés,,,Aucune,,,False,Aucune,• Préparer les justificatifs de domicile et de revenus. • Contacter plusieurs établissements.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,true
c32_consultation_postnatale,Rendez-vous Post-Natal (6-8 semaines),,,Consultation obligatoire après l'accouchement pour vérifier l'état de santé de la mère et la contraception.,,,medical,46,48,5,5,all,HAS,30,Gynécologue ou sage-femme,,,Aucune,,,True,"Examen clinique, vérification de l'utérus et du périnée.",• Préparer les questions sur la rééducation du périnée et la contraception. • Ne pas oublier le carnet de santé du bébé.,47.0,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,"-1d,-1h",true
c33_reeducation_perinee,Rééducation du Périnée,,,Séances de rééducation pour renforcer les muscles du périnée après l'accouchement.,,,self_care,48,60,any_day,4,all,HAS,30,Sage-femme ou kinésithérapeute,,,Aucune,,,False,Importance de la rééducation pour prévenir les fuites urinaires.,• Obtenir une ordonnance du médecin. • Choisir une sage-femme ou un kinésithérapeute.,,Un rendez-vous important pour le suivi de ta grossesse. Prépare-toi à l'avance et repose-toi bien.,any_time,60.0,-1d,false
