template_id,title_fr,title_ar,title_en,description_fr,description_ar,description_en,type,week_min,week_max,recommended_day,importance_level,country_scope,sources,duration_min,location_hint_fr,location_hint_ar,location_hint_en,prep_instructions_fr,prep_instructions_ar,prep_instructions_en,is_mandatory,doctor_notes_fr,prep_checklist_fr
c01,Première consultation prénatale,الاستشارة الأولى قبل الولادة,,Rendez-vous important : Première consultation prénatale. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"examen,bilan",6,10,5,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Apporter votre carnet de santé, les derniers résultats d'analyses et préparer vos questions.",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c02,Échographie de datation,تصوير بالموجات فوق الصوتية لتحديد التاريخ,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,"examen,echo",7,12,3,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.
c03,Dépistage de la trisomie 21 (T21),فحص متلازمة داون,,Rendez-vous important : Dépistage de la trisomie 21 (T21). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"examen,depistage",11,13,4,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c04,Échographie du premier trimestre (Morphologique),تصوير بالموجات فوق الصوتية للثلث الأول,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,"examen,echo",11,14,2,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.
c05,Consultation du 4ème mois,استشارة الشهر الرابع,,Rendez-vous important : Consultation du 4ème mois. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"examen,bilan",14,17,5,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Apporter votre carnet de santé, les derniers résultats d'analyses et préparer vos questions.",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c06,Échographie du deuxième trimestre (Morphologique),تصوير بالموجات فوق الصوتية للثلث الثاني,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,"examen,echo",20,22,3,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.
c07,Test de dépistage du diabète gestationnel (HGPO),اختبار سكري الحمل,,Rendez-vous important : Test de dépistage du diabète gestationnel (HGPO). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"examen,depistage",24,28,1,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Être à jeun (ne rien manger ni boire, sauf de l'eau, depuis la veille au soir).",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c08,Consultation du 7ème mois,استشارة الشهر السابع,,Rendez-vous important : Consultation du 7ème mois. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"examen,bilan",28,31,5,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,"Apporter votre carnet de santé, les derniers résultats d'analyses et préparer vos questions.",,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c09,Échographie du troisième trimestre (Croissance),تصوير بالموجات فوق الصوتية للثلث الثالث,,"Cet examen clé permet de vérifier la bonne croissance du fœtus, de dater précisément la grossesse et de dépister d'éventuelles anomalies. C'est un moment fort de la grossesse.",,,"examen,echo",32,34,2,3,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Ne pas uriner avant l'examen (pour les premières échographies) ou avoir la vessie à moitié pleine.,,,True,"Le médecin vérifiera la biométrie fœtale, la position du placenta et la quantité de liquide amniotique. Il mesurera également le col de l'utérus si nécessaire.",• Apporter votre carnet de maternité. • Ne pas mettre de crème sur le ventre avant l'examen. • Préparer vos questions pour le médecin.
c10,Cours de préparation à l'accouchement,دروس التحضير للولادة,,Rendez-vous important : Cours de préparation à l'accouchement. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,preparation,30,36,4,1,global,"HAS, NHS",60,Maternité ou centre de préparation à la naissance.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c11,"Bilan sanguin complet (Anémie, Sérologies)",تحليل دم شامل,,"Rendez-vous important : Bilan sanguin complet (Anémie, Sérologies). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.",,,"examen,bilan",10,14,5,2,global,"HAS, ACOG, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Être à jeun (sauf indication contraire du médecin).,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c12,Achat des premiers vêtements de bébé,شراء ملابس الطفل الأولى,,Rendez-vous important : Achat des premiers vêtements de bébé. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"self_care,achat",20,28,6,1,global,none,15,À la maison ou en magasin spécialisé.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c13,Installation de la chambre de bébé,تجهيز غرفة الطفل,,Rendez-vous important : Installation de la chambre de bébé. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"self_care,achat",30,36,6,1,global,none,15,À la maison ou en magasin spécialisé.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c14,Faire sa valise de maternité,تجهيز حقيبة الولادة,,Rendez-vous important : Faire sa valise de maternité. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,preparation,35,37,7,2,global,none,60,Maternité ou centre de préparation à la naissance.,,,Faire une liste des essentiels pour vous et le bébé. Laisser la valise à portée de main.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c15,Repos et relaxation,الراحة والاسترخاء,,Rendez-vous important : Repos et relaxation. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"self_care,bien_etre",1,40,7,1,global,none,15,À la maison.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c16,Rendez-vous avec l'anesthésiste,موعد مع طبيب التخدير,,Rendez-vous important : Rendez-vous avec l'anesthésiste. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"examen,preparation",34,36,5,2,global,"HAS, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c17,Vaccination contre la grippe (si saison),التطعيم ضد الأنفلونزا,,Rendez-vous important : Vaccination contre la grippe (si saison). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,prevention,1,40,5,1,global,"OMS, ACOG",15,À la maison.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c18,Vérification de l'apport en Vitamine D,فحص فيتامين د,,Rendez-vous important : Vérification de l'apport en Vitamine D. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"examen,supplement",10,20,5,1,global,"HAS, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c19,Bilan bucco-dentaire,فحص الأسنان,,Rendez-vous important : Bilan bucco-dentaire. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"examen,prevention",12,24,5,1,global,"HAS, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c20,Début du congé maternité,بداية إجازة الأمومة,,Rendez-vous important : Début du congé maternité. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,administratif,34,36,1,2,global,none,15,À la maison.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c21,Consultation post-natale,استشارة ما بعد الولادة,,Rendez-vous important : Consultation post-natale. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"examen,bilan",42,56,5,2,global,"HAS, NHS",30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c22,Rendez-vous chez le pédiatre (1er mois),موعد مع طبيب الأطفال (الشهر الأول),,Rendez-vous important : Rendez-vous chez le pédiatre (1er mois). Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"examen,bilan",42,56,5,2,global,none,30,Cabinet du gynécologue/sage-femme ou laboratoire d'analyses.,,,Aucune préparation spécifique requise.,,,True,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c23,Séance de rééducation périnéale,جلسات إعادة تأهيل قاع الحوض,,Rendez-vous important : Séance de rééducation périnéale. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,preparation,56,84,5,1,global,"HAS, NHS",60,Maternité ou centre de préparation à la naissance.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c24,Achat du siège auto,شراء مقعد السيارة,,Rendez-vous important : Achat du siège auto. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,"self_care,achat",30,36,6,1,global,none,15,À la maison ou en magasin spécialisé.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
c25,Vérification des droits et aides,التحقق من الحقوق والمساعدات,,Rendez-vous important : Vérification des droits et aides. Il est crucial de suivre le calendrier de suivi pour assurer la santé de la mère et du bébé.,,,administratif,1,12,5,1,global,none,15,À la maison.,,,Aucune préparation spécifique requise.,,,False,Le professionnel de santé s'assurera du bon déroulement de votre grossesse et répondra à toutes vos questions.,• Apporter votre carnet de maternité. • Noter toutes vos questions et préoccupations. • Être à l'heure pour ne pas stresser.
