red_flag_id,label_fr,label_ar,label_en,keywords_fr,severity,standard_message_fr,standard_message_ar,standard_message_en,linked_articles_ids,sources,triage_questions_fr,triage_questions_ar,triage_questions_en,next_steps_fr,next_steps_ar,next_steps_en
hémorragie,sang rouge vif,plus que des règles,emergency,"Ces signes peuvent indiquer une complication grave (placenta prævia, décollement placentaire, fausse couche tardive). Consultez immédiatement un médecin, une maternité ou les services d’urgence. Ne vous déplacez pas seule.",,,a03_examens_médicaux_pendant,a12_signes_du_travail,a19_grossesses_multiples,"OMS 2024, ACOG 2023, NHS",Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
crampes sévères,douleur unilatérale,douleur qui ne passe pas,urgent_consult,"Ces signes peuvent indiquer une complication (grossesse extra-utérine, décollement placentaire, appendicite). Consultez un médecin ou rendez-vous aux urgences sans attendre.",,,a03_examens_médicaux_pendant,a12_signes_du_travail,a19_grossesses_multiples,"OMS 2024, ACOG 2023, NHS",Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
ne sens plus le bébé,mouvements faibles,urgent_consult,Une diminution des mouvements fœtaux peut être un signe de souffrance fœtale. Consultez immédiatement un médecin ou une maternité pour un contrôle. Ne tentez pas de stimuler le bébé vous-même.,,,a20_mouvements_du_bébé,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
céphalée,douleur en barre,urgent_consult,"Ces signes, surtout s'ils sont accompagnés de troubles de la vision ou de douleurs à l'estomac, peuvent être un signe de pré-éclampsie. Consultez un médecin ou rendez-vous aux urgences sans attendre.",,,a03_examens_médicaux_pendant,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
éclairs lumineux,taches devant les yeux,urgent_consult,Ces signes peuvent être liés à une hypertension artérielle ou à une pré-éclampsie. Consultez immédiatement un médecin ou une maternité.,,,a03_examens_médicaux_pendant,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
température élevée,infection,urgent_consult,Une fièvre inexpliquée peut indiquer une infection grave. Consultez un médecin sans attendre pour un diagnostic et un traitement approprié.,,,a03_examens_médicaux_pendant,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
ne garde rien,déshydratation,urgent_consult,Des vomissements si sévères que vous ne parvenez pas à vous hydrater nécessitent une prise en charge médicale pour éviter la déshydratation et la malnutrition.,,,a04_nausées_matinales,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
gonflement visage,œdème,urgent_consult,"Un œdème soudain et important du visage, des mains ou des pieds peut être un signe de pré-éclampsie. Consultez un médecin rapidement.",,,a03_examens_médicaux_pendant,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
liquide chaud,écoulement vaginal,urgent_consult,"Une perte de liquide (clair, jaune ou verdâtre) peut indiquer une rupture prématurée des membranes. Consultez immédiatement une maternité.",,,a12_signes_du_travail,"ACOG 2023, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
cystite,infection urinaire,urgent_consult,"Ces signes peuvent indiquer une infection urinaire qui, si elle n'est pas traitée, peut entraîner une infection rénale ou un accouchement prématuré. Consultez un médecin.",,,a03_examens_médicaux_pendant,"OMS 2024, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
essoufflement,difficulté à respirer,emergency,Ces signes peuvent indiquer une complication cardiaque ou pulmonaire grave (embolie pulmonaire). Appelez immédiatement les services d'urgence.,,,a03_examens_médicaux_pendant,CDC,,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
pensées suicidaires,mal-être,emergency,"Si vous avez des pensées de vous faire du mal ou de faire du mal à votre bébé, il s'agit d'une urgence psychiatrique. Contactez immédiatement les services d'urgence ou un professionnel de santé mentale.",,,a15_dépression_post-partum,"CDC, NHS",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
perte de conscience,évanouissement,emergency,Les convulsions peuvent être un signe d'éclampsie (complication de la pré-éclampsie). Appelez immédiatement les services d'urgence.,,,a03_examens_médicaux_pendant,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
douleur foie,syndrome HELLP,emergency,Ces signes peuvent indiquer une complication grave comme le syndrome HELLP ou une pré-éclampsie sévère. Consultez immédiatement les services d'urgence.,,,a03_examens_médicaux_pendant,"ACOG 2023, CDC",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
hémorragie,perte de sang,emergency,Un saignement abondant après l'accouchement est une urgence vitale. Appelez immédiatement les services d'urgence.,,,a14_post-partum,"OMS 2024, ACOG 2023",,,,Depuis combien de temps ressentez-vous ce symptôme ? Y a-t-il d'autres symptômes associés ?,,,Contactez votre médecin ou sage-femme dans les 24 heures pour un avis médical.,,
