suggestion_id,keywords_fr,keywords_ar,keywords_en,response_fr,response_ar,response_en,category,linked_article_ids,sources,severity
cb_058,"sac accouchement,salle","حقيبة ولادة,قاعة","labor bag,room","Brumisateur, musique, tenue confort, snacks.",بخاخ ماء، موسيقى، ملابس مريحة، وجبات خفيفة.,"Water spray, music, comfy clothes, snacks.",preparation,art_010,Vecu,low
cb_059,"retour maison,sortie","عودة,منزل","homecoming,discharge",Prévoyez de l'aide/repas. Repos maman prioritaire.,رتبي للمساعدة والطعام. راحة الأم أولوية.,Plan help/meals. Mom's rest priority.,post_partum,art_030,Orga,low
cb_060,"baby blues,pleurs","كابة,بكاء","baby blues,crying",Chute hormones J3. Normal. Si dure > 2 sem : Dépression.,تغير هرموني يوم 3. طبيعي. إذا طال: اكتئاب.,Hormone drop D3. Normal. If long: Depression.,post_partum,art_030,Psy,medium
cb_061,"lochies,saignement","نفاس,دم","lochia,bleeding",Saignements 3-6 semaines. De plus en plus clair.,نزيف 3-6 أسابيع. يفتح لونه تدريجياً.,Bleeding 3-6 weeks. Gets lighter.,post_partum,art_030,Gyneco,low
cb_062,"épisiotomie,points","شق عجان,غرز","episiotomy,stitches","Lavez à l'eau, séchez bien. Changez souvent serviette.",اغسلي بالماء، جففي جيداً. غيري الفوطة غالباً.,"Wash with water, dry well. Change pad often.",post_partum,art_015,Hygiene,low
cb_063,"montée lait,seins","ادرار,حليب","milk,breasts","J3-J5. Mettez bébé au sein souvent. Chaud avant, Froid après.",يوم 3-5. أرضعي كثيراً. دافئ قبل، بارد بعد.,"D3-D5. Nurse often. Warm before, Cold after.",post_partum,art_029,Lactation,medium
cb_064,"crevasses,mamelon","تشققات,حلمة","cracks,nipple",Mauvaise position bébé. Corrigez prise. Lanoline.,وضعية خاطئة. صححي الالتقام. لانولين.,Bad latch. Fix position. Lanolin.,post_partum,art_029,Lactation,medium
cb_065,"cordon,nombril","سرة,حبل","cord,belly button",Nettoyez biseptine/alcool ou laissez sécher. Tombe J10.,نظفي بالمطهر أو دعيه يجف. يسقط يوم 10.,Clean antiseptic or dry. Falls D10.,post_partum,art_042,Pediatre,low
cb_066,"jaunisse,jaune","يرقان,اصفرار","jaundice,yellow",Fréquent. Mettez bébé à la lumière du jour. Tétées +++.,شائع. ضعي الطفل في ضوء النهار. رضاعة كثيفة.,Common. Put baby in daylight. Nurse +++.,post_partum,art_041,Pediatre,medium
cb_067,"coliques,pleurs","مغص,بكاء","colic,crying","Bébé pleure le soir ? Normal. Portage, massage ventre.",يبكي مساءً؟ طبيعي. حمل، تدليك البطن.,"Cries at night? Normal. Carry, tummy massage.",post_partum,art_047,Pediatre,low
cb_068,"bain,laver","حمام,غسل","bath,wash",37°C. Pas tous les jours (peau sèche). Savon doux.,37 درجة. ليس يومياً. صابون لطيف.,37°C. Not everyday. Gentle soap.,post_partum,,Hygiene,low
cb_069,"mouche bébé,rhume","شفاط انف,زكام","nose cleaner,cold",Sérum phy à volonté ! Mouchage avant repas.,محلول ملحي! تنظيف قبل الأكل.,Saline solution! Clean before meals.,post_partum,art_050,Sante,low
cb_070,"fièvre bébé,38","حمى طفل,حرارة","fever baby,temp",Avant 3 mois : Urgences direct. Ne donnez rien.,قبل 3 أشهر: طوارئ فوراً. لا تعطي شيئاً.,Before 3 months: ER immediately. Give nothing.,post_partum,art_050,Pediatre,high
cb_071,"vitamine d,bébé","فيتامين د,طفل","vitamin d,baby",Tous les jours jusqu'à 18 mois. Important os.,يومياً حتى 18 شهراً. مهم للعظام.,Everyday until 18 months. Important bones.,post_partum,art_050,Pediatre,low
cb_072,"contraception,pilule","منع حمل,حبوب","contraception,pill",Attention ovulation avant règles ! Préservatif ou pilule.,تبويض قبل الدورة! واقي أو حبوب.,Ovulation before period! Condom or pill.,post_partum,art_039,Gyneco,medium
cb_073,"rééducation,périnée","ترويض,عجان","rehab,perineum",Indispensable avant sport. 6 sem après accouchement.,ضروري قبل الرياضة. 6 أسابيع بعد الولادة.,Mandatory before sport. 6w after birth.,post_partum,art_046,Kine,medium
cb_074,"sport après,reprise","رياضة بعد,عودة","sport after,resume",Marche ok. Course/Abdos : Après rééducation !,مشي موافق. ركض/بطن: بعد الترويض!,Walk ok. Run/Abs: After rehab!,post_partum,art_046,Sport,medium
cb_075,"poids après,regime","وزن بعد,رجيم","weight after,diet","Patience. 9 mois pour faire, 9 mois pour perdre.",صبراً. 9 أشهر للزيادة، 9 للنقصان.,"Patience. 9 months to gain, 9 to lose.",post_partum,,Nutrition,low
cb_076,"relation,couple","علاقة,زوجين","relationship,couple","Fatigue tue libido. Câlins, paroles. Patience.",التعب يقتل الرغبة. عناق، كلام. صبراً.,"Fatigue kills libido. Cuddles, talk. Patience.",bien_etre,art_049,Psy,low
cb_077,"crèche,garde","حضانة,مربية","daycare,nanny",Inscrivez-vous tôt. Assistante maternelle ou Famille ?,سجلي مبكراً. مربية أم عائلة؟,Register early. Nanny or Family?,preparation,art_048,Admin,low
cb_078,"travail,reprise","عمل,عودة","work,back",Préparez adaptation bébé. Tirez votre lait ?,حضري تأقلم الطفل. شفط الحليب؟,Prepare baby adaptation. Pump milk?,post_partum,art_048,Travail,low
cb_079,"voyage bébé,avion","سفر طفل,طائرة","travel baby,plane",Dès 2 semaines ok. Tétée au décollage (oreilles).,من أسبوعين موافق. رضاعة عند الإقلاع.,From 2 weeks ok. Nurse at takeoff.,post_partum,,Transport,low
cb_080,"soleil,bébé","شمس,طفل","sun,baby","Jamais de soleil direct < 1 an. Chapeau, ombre.",لا شمس مباشرة قبل سنة. قبعة، ظل.,"No direct sun < 1 year. Hat, shade.",post_partum,,Securite,medium
cb_081,"chaleur,été","حر,صيف","heat,summer",Hydratez maman. Bébé en couche. Pièce fraîche.,رطبي الأم. الطفل بالحفاض. غرفة باردة.,Hydrate mom. Baby in diaper. Cool room.,sante,art_003,Meteo,medium
cb_082,"froid,hiver","برد,شتاء","cold,winter",Couvrez extrémités. Gigoteuse chaude. Pas de couette.,غطي الأطراف. كيس نوم دافئ. لا لحاف.,Cover extremities. Warm sleep bag. No duvet.,sante,art_044,Meteo,medium
cb_083,"pollution,air","تلوث,هواء","pollution,air",Évitez heures pointe. Aérez matin tôt.,تجنبي الذروة. هوي صباحاً باكراً.,Avoid peak hours. Air early morning.,sante,,Environnement,low
cb_084,"bruit,musique","ضجيج,موسيقى","noise,music",Bébé entend tout in utero. Musique douce apaise.,الطفل يسمع كل شيء. الموسيقى الهادئة تريح.,Baby hears all. Soft music soothes.,developpement,art_023,Ouie,low
cb_085,"jumeaux,double","توام,مضاعف","twins,double",Suivi plus rapproché. Repos x2. Césarienne fréquente.,متابعة أقرب. راحة مضاعفة. قيصرية شائعة.,Closer monitoring. Rest x2. C-section common.,sante,,Gyneco,medium
cb_086,"crampes,mollet","تشنج,ساق","cramps,calf",Magnésium. Eau. Étirements. Banane.,مغنيسيوم. ماء. تمديد. موز.,Magnesium. Water. Stretches. Banana.,sante,art_019,Nutrition,low
cb_087,"varices,veines","دوالي,عروق","varicose,veins",Bas contention. Pas de chaleur. Surélevez.,جوارب ضاغطة. لا حرارة. ارفعي.,Compression stockings. No heat. Elevate.,sante,art_019,Phlebo,low
cb_088,"vertiges,malaise","دوار,دوخة","dizziness,faint",Levez-vous doucement. Mangez sucre. Allongez-vous.,انهضي ببطء. كلي سكر. استلقي.,Stand up slowly. Eat sugar. Lie down.,symptomes,,Tension,medium
cb_089,"gencives,saignements","لثة,دم","gums,bleeding",Brosse souple. Détartrage recommandé.,فرشاة ناعمة. تنظيف جير موصى به.,Soft brush. Scaling recommended.,sante,art_035,Dentiste,low
cb_090,"nez bouché,rhinite","انف مسدود,زكام","stuffy nose,rhinitis",Sérum phy. Dormez surélevée. C'est hormonal.,محلول ملحي. نامي ورأسك مرفوع. هرموني.,Saline. Sleep elevated. Hormonal.,symptomes,,ORL,low
cb_091,"masque grossesse,tache","كلف,بقع","mask,spots",Écran total 50+. Chapeau. Pas de soleil visage.,واقي 50+. قبعة. لا شمس على الوجه.,Screen 50+. Hat. No sun on face.,sante,art_017,Dermato,low
cb_092,"ligne brune,ventre","خط بني,بطن","brown line,belly",Disparaît après accouchement. Hormonal.,يختفي بعد الولادة. هرموني.,Disappears after birth. Hormonal.,sante,,Dermato,low
cb_093,"nombril,sorti","سرة بارزة,خارجة","belly button,out","Normal, utérus pousse. Revient après.",طبيعي، الرحم يدفع. تعود لاحقاً.,"Normal, uterus pushes. Returns later.",sante,,Corps,low
cb_094,"fuites urinaires,pipi","سلس بول,تبول","leaks,pee",Périnée fatigué. Kegel ! Ne stoppez pas le pipi.,عجان متعب. كيجل! لا تحبسي البول.,Tired perineum. Kegel! Don't stop pee.,symptomes,art_015,Kine,medium
cb_095,"libido,envie","رغبة,جنس","libido,sex drive",Fluctuante. 2e trimestre top. 1er/3e bof. Normal.,متقلبة. الثلث الثاني ممتاز. عادي.,Fluctuating. 2nd trimester great. Normal.,sante,art_021,Sex,low
cb_096,"médicament,ordonnance","دواء,وصفة","medication,prescription",CRAT.fr pour vérifier. Jamais d'AINS (Ibuprofène).,تحققي من الطبيب. ممنوع الإيبوبروفين.,Check with doctor. No Ibuprofen.,sante,,Pharma,high
cb_097,"radiographie,rayon x","اشعة,اكس","xray,radiation",Signalez grossesse. Tablier plomb. Évitez si possible.,أبلغي عن الحمل. واقي رصاصي. تجنبي إن أمكن.,Report pregnancy. Lead apron. Avoid if possible.,sante,,Radio,medium
cb_098,"peinture,travaux","دهان,اشغال","paint,works",Laissez faire les autres. Vapeurs toxiques.,دعي غيرك يقوم به. أبخرة سامة.,Let others do it. Toxic fumes.,sante,,Securite,medium
cb_099,"jardinage,terre","بستنة,تراب","gardening,soil",Gants obligatoires (Toxo).,قفازات إجبارية (داء المقوسات).,Gloves mandatory (Toxo).,sante,art_008,Toxo,medium
cb_100,"piscine,chlore","مسبح,كلور","pool,chlorine",Bon sport. Douche après. Hygiène ok.,رياضة جيدة. استحمام بعده. نظافة.,Good sport. Shower after. Hygiene ok.,exercice,art_009,Sport,low
cb_101,"vélo,chute","دراجة,سقوط","bike,fall",Vélo appart ok. Vélo route risqué (chute).,دراجة منزلية موافق. دراجة طريق خطرة.,Stationary bike ok. Road bike risky.,exercice,,Sport,medium
cb_102,"concert,bruit fort","حفل,صوت عالي","concert,loud noise",Bébé entend mais liquide protège. Évitez basses.,يسمع لكن السائل يحميه. تجنبي الأصوات العالية.,Heats but fluid protects. Avoid bass.,bien_etre,,Loisir,low
cb_103,"tisane,plantes","اعشاب,شاي","herbal tea,plants","Thym, Verveine ok. Sauge déconseillée.",زعتر، لويزة موافق. ميرمية غير منصوح بها.,"Thyme, Verbena ok. Sage not advised.",nutrition,,Phyto,low
cb_104,"homéopathie,granules","هيموباثي,حبيبات","homeopathy,pellets",Sans danger. Efficacité variable.,بلا خطر. فعالية متفاوتة.,Safe. Variable efficacy.,sante,,Pharma,low
cb_105,"ostéopathe,dos","عظام,ظهر","osteopath,back",Spécialisé femme enceinte. Soulage bassin/dos.,مختص بالحوامل. يريح الحوض/الظهر.,Pregnancy specialist. Relieves pelvis/back.,sante,art_018,Osteo,low
cb_106,"acupuncture,nausées","ابر صينية,غثيان","acupuncture,nausea",Peut aider nausées/siège/accouchement.,قد تساعد في الغثيان/المقعدي/الولادة.,Can help nausea/breech/labor.,sante,art_006,MedecineDouce,low
cb_107,"chambre partagée,cododo","غرفة مشتركة,نوم","shared room,cosleeping",Recommandé 6 mois (Mort inattendue).,موصى به 6 أشهر (الموت المفاجئ).,Recommended 6 months (SIDS).,post_partum,art_044,Securite,high
cb_108,"tétine,sucette","مصاصة,لهاية","pacifier,dummy",Évitez 1er mois (confusion sein). Ok après.,تجنبي الشهر الأول (ارتباك الثدي). موافق بعدها.,Avoid 1st month (nipple confusion). Ok later.,post_partum,,Pediatre,low
cb_109,"tour de lit,doudou","واقي سرير,دبدوب","bumper,plush",Dangereux (étouffement). Lit vide !,خطر (اختناق). سرير فارغ!,Dangerous (suffocation). Empty crib!,post_partum,art_044,Securite,high
cb_110,"position dodo,bébé","وضعية نوم,طفل","sleep position,baby",TOUJOURS sur le dos. Jamais ventre/côté.,دائماً على الظهر. أبداً على البطن/الجنب.,ALWAYS on back. Never tummy/side.,post_partum,art_044,Securite,high
cb_111,"langue des signes,bébé","لغة اشارة,رضيع","sign language,baby",Top pour communiquer avant parole (6 mois+).,ممتاز للتواصل قبل الكلام (6 أشهر+).,Great to communicate before speech (6m+).,developpement,,Eveil,low
cb_112,"motricité libre,tapis","حركة حرة,سجاد","free movement,mat",Pas de youpala. Tapis sol. Laissez-le bouger.,لا للمشاية. بساط أرضي. دعيه يتحرك.,No walker. Floor mat. Let him move.,developpement,,Kine,low
cb_113,"écrans,télé","شاشات,تلفاز","screens,tv",Pas d'écran avant 3 ans. Interaction humaine !,لا شاشات قبل 3 سنوات. تفاعل بشري!,No screens before 3 years. Human interaction!,developpement,,Psy,medium
cb_114,"lecture,histoire","قراءة,قصة","reading,story",Lisez dès la naissance. Bain de langage.,اقرئي منذ الولادة. حمام لغوي.,Read from birth. Language bath.,developpement,,Eveil,low
cb_115,"massage bébé,huile","تدليك طفل,زيت","baby massage,oil",Huile végétale. Moment lien. Apaise.,زيت نباتي. لحظة تواصل. يهدئ.,Vegetable oil. Bonding time. Soothes.,post_partum,,BienEtre,low
cb_116,"grand-parents,visite","جدة,زيارة","grandparents,visit",Mettez règles. Pas de bisous si malades.,ضعي قواعد. لا قبلات إذا مرضى.,Set rules. No kisses if sick.,bien_etre,,Relation,medium
cb_117,"cordon autour cou,circulaire","حبل حول العنق,التفاف","cord around neck,nuchal",Fréquent et rarement dangereux. Médecins gèrent.,شائع ونادراً ما يكون خطيراً. الأطباء يتدبرونه.,Common and rarely dangerous. Doctors handle it.,sante,,Obs,medium
cb_118,"perte cheveux,post partum","تساقط شعر,بعد الولادة","hair loss,postpartum",Chute hormonale 3-4 mois après. Repousse après.,سقوط هرموني بعد 3-4 أشهر. ينمو مجدداً.,Hormonal drop 3-4m after. Regrows later.,bien_etre,,Dermato,low
cb_119,"ventre mou,apres","بطن رخو,بعد","soft belly,after",Il faut du temps (9 mois). Patience et sport.,يحتاج وقتاً (9 أشهر). صبر ورياضة.,Takes time (9 months). Patience and sport.,bien_etre,,Coach,low
cb_120,"retour couche,regles","رجوع دورة,حيض","period return,menstruation",6-8 sem si biberon. Plus tard si allaitement.,6-8 أسابيع مع الرضاعة الصناعية. لاحقاً مع الطبيعية.,6-8w if bottle. Later if breastfeeding.,post_partum,art_045,Gyneco,low
