week_number,title_fr,title_ar,title_en,emoji,trimester,baby_size_label_fr,baby_size_label_ar,baby_size_label_en,baby_size_cm,baby_weight_g,baby_dev_text_fr,baby_dev_text_ar,baby_dev_text_en,mom_body_text_fr,mom_body_text_ar,mom_body_text_en,warnings_text_fr,warnings_text_ar,warnings_text_en,recommended_articles_ids,recommended_supplements_ids,calendar_template_ids,baby_image_static_url,baby_3d_model_url,Subject,Corps de la maman (FR),Avertissements (FR),Articles recommandés (IDs),Compléments recommandés (IDs),Modèles de calendrier (IDs),Error
1,Semaine 1 – ### La conception,,,🌱,1er,Microscopique,,,0.1,0.1,"La fécondation vient tout juste de se produire. L'ovule fécondé, appelé zygote, commence immédiatement à se diviser et à se déplacer vers l'utérus pour s'implanter. À ce stade, vous n'êtes pas encore techniquement enceinte, car l'implantation n'a pas eu lieu.",,,"Pendant cette première semaine, qui correspond à vos dernières règles, votre corps se prépare à une éventuelle grossesse. Vous ne ressentez aucun symptôme de grossesse pour le moment.",,,Aucun symptôme d'alerte spécifique à cette semaine. Suivez votre cycle menstruel.,,,a02,s01,,week_01.png,,,,,,,,
2,Semaine 2 – ### L'ovulation,,,🌱,1er,Microscopique,,,0.1,0.1,"L'ovulation se produit et un ovule est libéré. Si la fécondation a lieu, l'ovule fécondé continue son voyage vers l'utérus. Vous n'êtes pas encore enceinte, mais votre corps se prépare à cette possibilité.",,,"C'est la semaine de l'ovulation. Vous pourriez remarquer une légère augmentation de votre libido ou une glaire cervicale plus abondante et transparente, semblable à du blanc d'œuf.",,,Aucun symptôme d'alerte spécifique. Certaines femmes ressentent une légère douleur d'un côté de l'abdomen au moment de l'ovulation (mittelschmerz).,,,"a02,a18",s01,,week_02.png,,,,,,,,
3,Semaine 3 – ### L'implantation,,,🌱,1er,Microscopique,,,0.1,0.1,"L'embryon s'implante dans la paroi utérine. C'est à ce moment que vous êtes officiellement enceinte, bien que vous ne le sachiez probablement pas encore. Les premières cellules commencent à se différencier pour former les différents tissus du corps.",,,"L'œuf fécondé voyage vers l'utérus pour s'implanter. Vous ne ressentez probablement encore rien, mais de grands changements se préparent. Certaines femmes peuvent observer un léger saignement d'implantation.",,,"Un léger spotting (quelques gouttes de sang rose ou marron) peut être un saignement d'implantation. S'il est abondant, consultez un médecin.",,,a01,s01,,week_03.png,,,,,,,,
4,Semaine 4 – ### Le test positif,,,🌱,1er,Graine de pavot (1 mm),,,1.0,0.1,"Votre test de grossesse peut désormais être positif. L'embryon forme un disque à deux couches et le sac amniotique commence à se développer. Le tube neural, qui deviendra le cerveau et la moelle épinière, commence à se former.",,,"C'est la semaine où vos règles sont attendues. Un retard est le premier signe de grossesse. Vous pourriez commencer à ressentir une sensibilité des seins, une légère fatigue ou des nausées matinales.",,,"Si vous avez un test de grossesse positif et des douleurs abdominales sévères d'un seul côté, consultez rapidement pour écarter une grossesse extra-utérine.",,,"a01,a04",s01,c13,week_04.png,,,,,,,,
5,Semaine 5 – ### Le cœur qui bat,,,🫘,1er,Graine de sésame (2 mm),,,2.0,0.1,"Le cœur de l'embryon commence à battre ! Il est encore trop tôt pour l'entendre, mais il pourrait être visible lors d'une échographie transvaginale. Les bourgeons qui formeront les bras et les jambes commencent à apparaître.",,,"Les symptômes de grossesse s'intensifient : fatigue, nausées, envies fréquentes d'uriner, seins tendus et douloureux. Les hormones de grossesse (hCG) sont en pleine augmentation.",,,Des vomissements importants qui vous empêchent de vous hydrater nécessitent un avis médical. Des saignements ou des crampes fortes doivent également vous amener à consulter.,,,"a01,a04,a07",s01,,week_05.png,,,,,,,,
6,Semaine 6 – ### Les premiers organes,,,🫘,1er,Lentille (4 mm),,,4.0,1.0,"Les organes vitaux comme le foie et les reins commencent à se former. Le tube neural se ferme. Les bourgeons des bras et des jambes s'allongent et les mains et les pieds commencent à se former. Le visage commence à prendre forme avec l'apparition des yeux, du nez et de la bouche.",,,,,,,,,,,,week_06.png,,6.0,"À six semaines de grossesse, les changements hormonaux intenses provoquent une série de symptômes bien établis. La **fatigue** est souvent écrasante, car votre corps travaille sans relâche pour soutenir le développement embryonnaire. Les **nausées matinales**, qui peuvent survenir à tout moment de la journée, sont très fréquentes et peuvent être accompagnées d'une aversion pour certains aliments ou d'un goût métallique dans la bouche. Vos seins peuvent devenir **douloureux et sensibles** au toucher. Vous pourriez également remarquer une **augmentation de la fréquence urinaire** due à l'augmentation du volume sanguin et à la pression de l'utérus en croissance sur votre vessie. Les **sautes d'humeur** sont courantes en raison des fluctuations hormonales. Il est essentiel de se reposer au maximum et de maintenir une bonne hydratation pour gérer ces premiers désagréments.","Il est crucial de rester vigilante face à certains signes. Consultez **immédiatement** votre médecin ou votre sage-femme si vous constatez des **saignements vaginaux abondants** (plus qu'un simple *spotting* léger) ou si vous ressentez des **douleurs abdominales aiguës et persistantes**, car cela pourrait indiquer une fausse couche ou une grossesse extra-utérine. De même, une **fièvre élevée** ou des **vomissements si sévères** que vous ne parvenez pas à garder de liquides (hyperémèse gravidique) nécessitent une attention médicale urgente pour éviter la déshydratation. N'hésitez jamais à contacter un professionnel de santé si vous avez le moindre doute ou si un symptôme vous inquiète. Votre bien-être et celui de votre bébé sont la priorité absolue.","a01,a02,a03,a04","s01,s02","c01,c02",
7,Semaine 7 – ### Le développement cérébral,,,🫘,1er,Myrtille (8 mm),,,8.0,1.0,"Le cerveau se développe rapidement. Les hémisphères cérébraux commencent à se former. Les bras et les jambes continuent de s'allonger, et les doigts et les orteils commencent à apparaître. Le cordon ombilical est maintenant clairement visible.",,,,,,,,,,,,week_07.png,,7.0,"À sept semaines de grossesse (9 SA), votre corps est en pleine transformation pour soutenir le développement rapide de votre embryon, désormais de la taille d'un grain de raisin. L'augmentation du volume sanguin, qui peut atteindre jusqu'à 50 % à terme, peut vous donner une sensation de soif accrue. Votre utérus, ayant la taille d'un citron, commence son expansion. Les symptômes du premier trimestre sont souvent à leur apogée : nausées matinales, fatigue intense et sautes d'humeur sont fréquents. Vous pourriez également remarquer un goût métallique dans la bouche, des seins plus sensibles, des maux de tête et une aversion ou un désir soudain pour certains aliments. Ces désagréments sont le signe que vos hormones travaillent sans relâche pour assurer le bon déroulement de cette étape cruciale [1].","Il est essentiel de rester vigilante face à certains signaux. Si vous constatez des **saignements vaginaux** équivalents ou supérieurs à des règles, surtout s'ils sont accompagnés de **douleurs abdominales intenses** ou de **crampes utérines** persistantes, vous devez consulter immédiatement un professionnel de santé [2]. De même, une forte fièvre (38°C ou plus), des maux de tête qui ne passent pas, des troubles de la vision, ou un gonflement soudain et généralisé nécessitent une attention médicale urgente [3]. N'hésitez jamais à contacter votre médecin ou votre sage-femme si vous avez le moindre doute. Il vaut toujours mieux vérifier pour être rassurée. Votre bien-être et celui de votre bébé sont la priorité absolue.","a01,a02,a03,a04,a05","s01,s02","c01,c02",
8,Semaine 8 – ### Un petit embryon complet,,,🫘,1er,"Framboise (1,6 cm)",,,1.6,1.0,Tous les organes essentiels sont formés. L'embryon a maintenant une apparence plus humaine. Les caractéristiques faciales continuent de se développer. Les membres s'allongent et les articulations commencent à se former. Le cœur bat maintenant à environ 150 battements par minute.,,,,,,,,,,,,week_08.png,,8.0,"À 8 semaines de grossesse (10 SA), les symptômes du premier trimestre sont généralement bien installés. La **fatigue** est souvent marquée, il est donc crucial de s'accorder du repos. Les **nausées et vomissements** peuvent persister, mais devraient commencer à s'atténuer au début du deuxième trimestre. Pour les gérer, privilégiez des repas légers et fréquents et assurez-vous de rester bien hydratée. Votre utérus en expansion commence à exercer une pression sur votre vessie, entraînant des **envies fréquentes d'uriner**. Vous pourriez également ressentir des **douleurs légères à modérées dans le bas-ventre** et le dos, ainsi qu'une **sensibilité accrue** à certaines odeurs ou aliments. Bien que votre ventre ne soit pas encore arrondi, il peut être **gonflé et un peu dur** en raison des changements internes. Ces désagréments sont le signe que votre corps travaille intensément pour soutenir le développement de votre bébé.","Il est essentiel de rester vigilante face à certains signaux d'alerte. Consultez immédiatement un professionnel de santé en cas de **saignements vaginaux abondants** ou s'ils s'accentuent, de **maux de tête sévères** accompagnés de troubles de la vision ou de douleurs en barre à l'estomac. Une **fièvre** inexpliquée, un **évanouissement** ou une **enflure généralisée** nécessitent également une attention médicale urgente. N'hésitez jamais à contacter votre médecin ou votre sage-femme si des symptômes vous **inquiètent** ou **impactent négativement** votre quotidien. Une prise en charge rapide est la meilleure garantie pour votre santé et celle de votre bébé.","a01,a02,a03,a04,a05",s01,"c01,c02",
9,Semaine 9 – ### La transition vers le fœtus,,,🍋,1er,"Olive (2,3 cm)",,,2.3,2.0,"L'embryon est maintenant appelé fœtus. Les organes génitaux commencent à se développer, mais il est encore trop tôt pour déterminer le sexe à l'échographie. Les doigts et les orteils sont bien formés. Le fœtus peut faire de petits mouvements, mais vous ne les sentez pas encore.",,,,,,,,,,,,week_09.png,,9.0,"À la neuvième semaine de grossesse, les symptômes du premier trimestre sont souvent à leur apogée. La **fatigue** est généralement intense, car votre corps travaille sans relâche pour soutenir le développement rapide de l'embryon. Les **nausées** et les vomissements, communément appelés «maladie matinale», peuvent survenir à tout moment de la journée. Vous pourriez également remarquer une augmentation des **sautes d'humeur** et une sensibilité accrue des seins. Bien que ces désagréments soient fréquents et témoignent du bon déroulement de la grossesse, ils peuvent être éprouvants. Il est essentiel de vous reposer dès que possible et de privilégier des repas légers et fréquents pour gérer les nausées. Ces symptômes devraient commencer à s'atténuer à l'approche du deuxième trimestre.","Il est important de rester attentive à certains signaux d'alerte. Si vous constatez des **saignements vaginaux** abondants (plus qu'une légère trace) ou des **douleurs abdominales** intenses et persistantes, semblables à de fortes crampes, contactez immédiatement votre professionnel de santé. De même, une **fièvre** supérieure à 38°C, des **maux de tête** qui ne disparaissent pas, ou des **vomissements** si fréquents que vous ne parvenez plus à vous hydrater (signes d'hyperémèse gravidique) nécessitent une consultation urgente. Dans la grande majorité des cas, tout va bien, mais il est crucial de ne jamais hésiter à demander un avis médical pour écarter tout risque et vous rassurer.","a03,a05,a08,a12","s01,s03","c01,c03",
10,Semaine 10 – ### Les premiers mouvements,,,🍋,1er,"Prune (3,1 cm)",,,3.1,4.0,"Le fœtus commence à bouger activement, bien que vous ne puissiez pas encore le sentir. Les paupières sont formées et recouvrent partiellement les yeux. Les dents commencent à se former sous les gencives. Le foie commence à produire des globules rouges.",,,,,,,,,,,,week_10.png,,10.0,"À 10 semaines de grossesse, vous êtes en plein cœur du premier trimestre, et les symptômes de début de grossesse sont souvent à leur apogée. Les nausées et les vomissements, souvent appelés «maladie matinale», peuvent survenir à tout moment de la journée. La fatigue est également très présente, car votre corps travaille intensément pour soutenir le développement rapide de votre bébé. Vous pourriez remarquer que vos seins sont plus sensibles et volumineux. Des changements d'humeur, une sensibilité accrue aux odeurs et des ballonnements sont fréquents. Bien que votre ventre ne soit pas encore très visible, votre utérus continue de grossir, ce qui peut entraîner des envies d'uriner plus fréquentes. Ces désagréments sont normaux et tendent à s'atténuer au cours du deuxième trimestre.","Il est crucial de rester vigilante face à certains signes. Consultez **immédiatement** votre professionnel de santé ou rendez-vous aux urgences si vous présentez : des **saignements vaginaux abondants** (plus qu'une légère trace), des **douleurs abdominales intenses** ou des crampes sévères, des **vomissements incoercibles** (incapacité de garder des liquides ou des aliments) pouvant mener à une déshydratation. Les signes de déshydratation incluent une urine foncée, une soif extrême ou des étourdissements. De plus, une **fièvre supérieure à 38°C**, des **maux de tête violents** qui ne passent pas, des **troubles de la vision** ou une **douleur ou sensation de brûlure en urinant** nécessitent une consultation urgente. N'hésitez jamais à consulter en cas de doute, même minime, pour vous et votre bébé, votre sécurité est notre priorité.","a01,a02,a03,a04,a05","s01,s02",c01,
11,Semaine 11 – ### Le développement des traits du visage,,,🍋,1er,"Figue (4,1 cm)",,,4.1,7.0,"Le visage est bien formé avec un nez et des lèvres distincts. Les oreilles se déplacent vers leur position finale. Le fœtus peut maintenant ouvrir et fermer sa bouche, et même avoir le hoquet. Les organes génitaux continuent de se développer.",,,,,,,,,,,,week_11.png,,11.0,"À 11 semaines de grossesse, vous approchez de la fin du premier trimestre, et pour beaucoup, c'est le début d'une amélioration notable. La fatigue intense et les nausées matinales, bien que toujours présentes pour certaines, commencent souvent à s'estomper. Votre corps travaille activement, et l'augmentation du volume sanguin peut entraîner une miction plus fréquente. Vos seins restent sensibles et peuvent avoir augmenté de volume. Il est possible que votre ventre commence à s'arrondir légèrement, même si cela est plus perceptible pour les grossesses suivantes. Les troubles digestifs comme l'indigestion et les ballonnements sont courants. Profitez de cette période pour retrouver un peu d'énergie et maintenir une alimentation équilibrée, riche en nutriments essentiels pour vous et le développement rapide de votre bébé.","Il est crucial de rester vigilante face à certains signes. Consultez immédiatement un professionnel de la santé si vous constatez des saignements vaginaux abondants, des douleurs abdominales intenses ou des crampes sévères, ou si vous perdez du liquide amniotique. Une fièvre élevée (supérieure à 38°C) non expliquée, des maux de tête persistants et violents, ou des troubles de la vision nécessitent également une attention médicale urgente. N'hésitez jamais à contacter votre médecin ou la maternité en cas de doute ou d'inquiétude. Votre bien-être et celui de votre bébé sont la priorité absolue.","a01,a02,a03,a04","s01,s02","c01,c02",
12,Semaine 12 – ### La formation des empreintes digitales,,,🍋,1er,"Citron vert (5,4 cm)",,,5.4,14.0,"Les empreintes digitales uniques de votre bébé se forment. Le système digestif commence à s'exercer en avalant du liquide amniotique. Les reins commencent à produire de l'urine qui est libérée dans le liquide amniotique. Le squelette, jusqu'ici cartilagineux, commence à s'ossifier.",,,,,,,,,,,,week_12.png,,12.0,"La 12e semaine de grossesse marque la fin du premier trimestre, souvent synonyme d'une amélioration notable de votre bien-être. Les nausées et la fatigue intense, symptômes fréquents des premières semaines, tendent à s'estomper. Votre utérus, ayant atteint la taille d'un pamplemousse, commence à se redresser et à sortir du bassin, ce qui peut soulager la pression sur votre vessie et diminuer le besoin fréquent d'uriner. Cependant, votre ventre commence à s'arrondir et vos vêtements habituels peuvent devenir serrés. Vous pourriez également remarquer une augmentation de la taille et de la sensibilité de vos seins, ainsi que l'apparition de colostrum. Les sautes d'humeur peuvent persister en raison des fluctuations hormonales, mais l'énergie revient progressivement, vous permettant de profiter davantage de cette période.","Bien que le risque de fausse couche diminue significativement après la 12e semaine, il est crucial de rester vigilante. Consultez immédiatement un professionnel de santé si vous constatez des saignements vaginaux abondants, des douleurs abdominales ou pelviennes intenses et persistantes, ou une perte de liquide amniotique. De même, une fièvre élevée (supérieure à 38,5°C) sans cause apparente, des maux de tête violents accompagnés de troubles de la vision, ou des vomissements si sévères qu'ils empêchent toute hydratation, nécessitent une évaluation médicale urgente. Votre santé et celle de votre bébé sont notre priorité.","a01,a02,a03,a04,a05","s01,s02","c01,c02",
13,Semaine 13 – ### La fin du premier trimestre,,,🥑,1er,"Pêche (7,4 cm)",,,7.4,23.0,"Félicitations, vous avez terminé le premier trimestre ! Le risque de fausse couche diminue considérablement. Le fœtus a maintenant tous ses organes, bien qu'ils continuent à se développer et à mûrir. Les cordes vocales se forment. Le fœtus peut sucer son pouce et faire des expressions faciales.",,,,,,,,,,,,week_13.png,,13.0,"La 13e semaine marque la fin du premier trimestre et le début du second, souvent appelé l'âge d'or de la grossesse. Pour beaucoup de femmes, les symptômes désagréables du début, comme les nausées et la fatigue intense, commencent à s'estomper, laissant place à un regain d'énergie et de bien-être. Cependant, de nouveaux symptômes peuvent apparaître. L'utérus, qui grandit rapidement, peut provoquer des douleurs ligamentaires rondes, ressenties comme des tiraillements dans le bas-ventre ou l'aine. Les seins continuent de se développer et peuvent devenir plus sensibles. Une augmentation des pertes vaginales (leucorrhées) est également fréquente. Vous pourriez remarquer une amélioration de votre appétit et une stabilisation de votre humeur.","Bien que le risque de fausse couche diminue significativement à ce stade, il est crucial de rester attentive aux signes d'alerte. Consultez immédiatement un professionnel de la santé en cas de saignements vaginaux abondants, de douleurs abdominales ou pelviennes intenses et persistantes, ou de fièvre supérieure à 38°C. Une attention particulière doit être portée aux maux de tête sévères et persistants, aux troubles de la vision (vision floue, taches lumineuses), ou à un gonflement soudain et extrême des mains, du visage ou des jambes, qui pourraient indiquer une complication plus sérieuse. N'hésitez jamais à contacter votre médecin ou la maternité si vous avez le moindre doute ou une inquiétude.","a01, a02, a03, a04, a05","s01, s02","c01, c02",
14,Semaine 14 – ### Le développement des sens,,,🥑,2ème,"Citron (8,7 cm)",,,8.7,43.0,"Votre bébé commence à développer son sens du toucher et peut porter ses mains à son visage. Ses organes sensoriels poursuivent leur développement. Les yeux, bien que fermés, peuvent percevoir la lumière. Le système immunitaire commence à se former. Les mouvements deviennent plus coordonnés.",,,,,,,,,,,,week_14.png,,14.0,"La 14e semaine marque le début du deuxième trimestre, souvent surnommé la « lune de miel » de la grossesse. Pour beaucoup de futures mères, c'est une période de regain d'énergie et de diminution des nausées matinales. Votre utérus continue de grandir, et votre ventre commence à s'arrondir de manière plus visible. L'augmentation du volume sanguin et les changements hormonaux peuvent provoquer des symptômes tels que des saignements de nez occasionnels et des vertiges. Vous pourriez également remarquer des changements cutanés, comme le fameux « masque de grossesse » (mélasma) ou une amélioration de l'éclat de votre peau. Des douleurs dans le bas du dos sont fréquentes, il est donc important de maintenir une bonne posture et de pratiquer une activité physique douce et adaptée pour soulager ces tensions.","Bien que le deuxième trimestre soit généralement plus confortable, certains signaux d'alarme ne doivent jamais être ignorés. Consultez immédiatement un professionnel de la santé ou rendez-vous à l'hôpital si vous présentez : des **saignements vaginaux** importants, des **douleurs abdominales sévères** (surtout si elles sont en barre), des **maux de tête intenses** accompagnés de troubles de la vision, une **fièvre** élevée, ou un **gonflement soudain et généralisé** (mains, visage, jambes). Ces symptômes peuvent indiquer une complication nécessitant une évaluation médicale urgente. N'hésitez jamais à contacter votre équipe de soins si vous avez le moindre doute ou si votre état général se détériore.","a03,a05,a07,a11",s01,c01,
15,Semaine 15 – ### La croissance des cheveux,,,🥑,2ème,"Pomme (10,1 cm)",,,10.1,70.0,Les premiers cheveux fins commencent à apparaître sur la tête de votre bébé. Un duvet appelé lanugo recouvre également son corps pour le protéger. Les os continuent de se développer et deviennent plus solides. Le fœtus peut désormais faire des grimaces et froncer les sourcils.,,,,,,,,,,,,week_15.png,,15.0,"La quinzième semaine de grossesse marque souvent une période de regain d'énergie, typique du deuxième trimestre. Cependant, votre corps continue son adaptation rapide. L'utérus en pleine croissance peut provoquer des **douleurs ligamentaires rondes**, de brèves sensations de tiraillement sur les côtés du ventre. Une **augmentation des pertes vaginales** (leucorrhée) est un phénomène normal, dû à l'accroissement du flux sanguin dans la région pelvienne. Vous pourriez également remarquer des **saignements de nez** ou des **gencives plus sensibles**, ainsi que des **maux de tête** occasionnels. Votre peau peut présenter des changements, comme une légère augmentation de la production de sébum ou l'apparition de taches brunes (chloasma). Il est essentiel de vous reposer lorsque vous en ressentez le besoin et de maintenir une bonne hydratation.","Votre santé et celle de votre bébé sont notre priorité. Bien que la plupart des symptômes soient bénins, certains signes nécessitent une consultation médicale **immédiate**. Ne tardez jamais à contacter votre professionnel de santé ou à vous rendre aux urgences si vous constatez : des **saignements vaginaux** importants (plus que de légères traces), une **fièvre** supérieure à 38°C, des **maux de tête sévères** qui ne s'atténuent pas ou s'aggravent, des **troubles de la vision** ou des **douleurs abdominales intenses** et persistantes. De même, un **gonflement extrême** et soudain du visage ou des mains, ou des **pertes vaginales** malodorantes ou de couleur anormale, doivent vous alerter. En cas de doute, consultez sans hésiter.","a01,a02,a03,a04,a05","s01,s02","c01,c02",
